Prompt,Condition,Study,Type,Contradictory_cont,Response
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Few people are able to recite the national anthem or the pledge of allegiance. A: So most can recite both. B: I don’t remember which. C: Both are very hard to remember.",Experimental,created,Other DE,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Mary doubts that John watched Mission Impossible or James Bond. A: She thinks he wouldn’t watch any action movies. B: So she knows he's watched all the action movies that have come out since the 1900s. C: She thinks he only saw one.",Experimental,created,Other DE,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. It’s cold in this house. I bet you, John didn’t close the window or the back door.  A: I wonder which one of those two we’ll find open. B: Look, just as I said, both of them are wide open! C: So, look, both the window and back door are closed.",Experimental,original,Negation,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John doubts Mary knows Spanish or French. A: He thinks she can only speak English. B: He thinks she can only speak one. C: So he has heard her speaking both.",Experimental,created,Other DE,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. It is very cold in the house. A: There is a winter storm. B: It is not very cold in the house. C: The heater is broken.",Control,created,Negation,B,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John went on holiday without his mother or his father. A: I don’t remember which. B: So he took them both on vacation because it's their anniversary. C: It's the first time he travels by himself.",Experimental,original,Without,B,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Few people chose to take Calculus or Statistics. A: So most people take both in school. B: I don’t know which. C: Both of those classes are very unpopular.",Experimental,created,Other DE,A,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. If I remember correctly, Annie doesn’t like chocolate or pie. A: She dislikes all types of dessert. B: I don’t know which. C: So she loves all types of dessert.",Experimental,created,Negation,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. My friend came late to class today. A: My friend did not come late to class. B: The busses ran late. C: She had band practice right before.",Control,created,Negation,A,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. The man in the movie was very tall. A: He is also very muscular. B: His parents are both tall too. C: The man in the movie was very short.",Control,created,Conceptual,C,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Jamie doesn’t like trees or flowers. A: I don’t remember which. B: So she's a huge nature buff. C: She doesn’t like nature in general.",Experimental,created,Negation,B,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. The car radio has been broken for a few months. A: The car radio has been working well. B: I don't have enough money to repair it. C: It is really old.",Control,created,Conceptual,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Mary rarely speaks German or French. A: I don’t remember which. B: She usually only speaks English. C: So she often switches between both.",Experimental,created,Other DE,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John doubts that Sue played football or tennis. A: So he thinks she did both. B: He thinks she focused on one of the two. C: He thinks she never did any ball sports.",Experimental,original,Other DE,A,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. A: I don’t know which of them. B: She’s upset with both of them and doesn’t want to see them. C: So she invited them both.",Experimental,original,Negation,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. The car radio has been broken for a few months. A: It is really old. B: I don't have enough money to repair it. C: The car radio is not broken.",Control,created,Negation,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. My friend was very while loud watching TV. A: My friend was very quiet while watching TV. B: He has not self-awareness. C: He was watching a game show.",Control,created,Conceptual,A,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  A: So his bag had both his computer and movie camera in it when I looked. B: I wonder which of the two he decided to give up. C: I am sure he was a lot happier without electronic devices.",Experimental,original,Without,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Mary doubts that Paul read The Brothers Karamazov or Anna Karenina. A: She thinks he had time for only one of them. B: So she knows he's read all the classics of Russian literature. C: She thinks he never reads Russian literature.",Experimental,original,Other DE,B,B
