Sentence,Connective,Contradiction,Instructions,Type,Original order,Total order,Response
She likes apples and she does not like apples.,and,1,1,experimental,1,1,yes
She likes apples if she does not like apples.,if,1,1,experimental,2,2,Yes
She likes apples so she does not like apples.,so,1,1,experimental,3,3,Yes.
She likes apples therefore she does not like apples.,therefore,1,1,experimental,4,4,Yes.
She likes apples but she does not like apples.,but,1,1,experimental,5,5,yes
She likes apples when she does not like apples.,when,1,1,experimental,6,6,Yes.
She likes apples although she does not like apples.,although,1,1,experimental,7,7,Yes.
She likes apples or she does not like apples.,or,0,1,experimental,8,8,No
"Maybe she likes apples, maybe she does not like apples.",maybe,0,1,experimental,9,9,No
"Perhaps she likes apples, perhaps she does not like apples.",perhaps,0,1,experimental,10,10,Yes
She might like apples and she might not like apples.,might,0,1,experimental,11,11,No
Jim was born in California and Jim was not born in California.,and,1,1,experimental,12,12,yes
Jim was born in California if Jim was not born in California.,if,1,1,experimental,13,13,Yes.
Jim was born in California so Jim was not born in California.,so,1,1,experimental,14,14,Yes
Jim was born in California therefore Jim was not born in California.,therefore,1,1,experimental,15,15,Yes
Jim was born in California but Jim was not born in California.,but,1,1,experimental,16,16,yes
Jim was born in California when Jim was not born in California.,when,1,1,experimental,17,17,Yes
Jim was born in California although Jim was not born in California.,although,1,1,experimental,18,18,Yes
Jim was born in California or Jim was not born in California.,or,0,1,experimental,19,19,No
"Maybe Jim was born in California, maybe Jim was not born in California.",maybe,0,1,experimental,20,20,Yes
"Perhaps Jim was born in California, perhaps Jim was not born in California.",perhaps,0,1,experimental,21,21,No
Jim might be born in California and Jim might not be born in California.,might,0,1,experimental,22,22,No
The dog is alive and the dog is not alive.,and,1,1,experimental,23,23,yes
The dog is alive if the dog is not alive.,if,1,1,experimental,24,24,Yes
The dog is alive so the dog is not alive.,so,1,1,experimental,25,25,Yes.
The dog is alive therefore the dog is not alive.,therefore,1,1,experimental,26,26,Yes.
The dog is alive but the dog is not alive.,but,1,1,experimental,27,27,Yes
The dog is alive when the dog is not alive.,when,1,1,experimental,28,28,Yes.
The dog is alive although the dog is not alive.,although,1,1,experimental,29,29,Yes
The dog is alive or the dog is not alive.,or,0,1,experimental,30,30,No
"Maybe the dog is alive, maybe the dog is not alive.",maybe,0,1,experimental,31,31,no
"Perhaps the dog is alive, perhaps the dog is not alive.",perhaps,0,1,experimental,32,32,Yes
The dog might be alive and the dog might not be alive.,might,0,1,experimental,33,33,No
The cat chases the mouse and the cat does not chase the mouse.,and,1,1,experimental,34,34,Yes
The cat chases the mouse if the cat does not chase the mouse.,if,1,1,experimental,35,35,Yes
The cat chases the mouse so the cat does not chase the mouse.,so,1,1,experimental,36,36,yes
The cat chases the mouse therefore the cat does not chase the mouse.,therefore,1,1,experimental,37,37,yes
The cat chases the mouse but the cat does not chase the mouse.,but,1,1,experimental,38,38,Yes.
The cat chases the mouse when the cat does not chase the mouse.,when,1,1,experimental,39,39,yes
The cat chases the mouse although the cat does not chase the mouse.,although,1,1,experimental,40,40,Yes
The cat chases the mouse or the cat does not chase the mouse.,or,0,1,experimental,41,41,No
"Maybe the cat chases the mouse, maybe the cat does not chase the mouse.",maybe,0,1,experimental,42,42,No
"Perhaps the cat chases the mouse, perhaps the cat does not chase the mouse.",perhaps,0,1,experimental,43,43,No
The cat might chase the mouse and the cat might not chase the mouse.,might,0,1,experimental,44,44,No
I have a car and I do not have a car.,and,1,1,experimental,45,45,Yes.
I have a car if I do not have a car.,if,1,1,experimental,46,46,Yes
I have a car so I do not have a car.,so,1,1,experimental,47,47,yes
I have a car therefore I do not have a car.,therefore,1,1,experimental,48,48,Yes.
I have a car but I do not have a car.,but,1,1,experimental,49,49,Yes
I have a car when I do not have a car.,when,1,1,experimental,50,50,Yes.
I have a car although I do not have a car.,although,1,1,experimental,51,51,Yes.
I have a car or I do not have a car.,or,0,1,experimental,52,52,No
"Maybe I have a car, maybe I do not have a car.",maybe,0,1,experimental,53,53,No
"Perhaps I have a car, perhaps I do not have a car.",perhaps,0,1,experimental,54,54,No
I might have a car and I might not have a car.,might,0,1,experimental,55,55,No
The boy is playing soccer and the boy is not playing soccer.,and,1,1,experimental,56,56,Yes
The boy is playing soccer if the boy is not playing soccer.,if,1,1,experimental,57,57,Yes
The boy is playing soccer so the boy is not playing soccer.,so,1,1,experimental,58,58,Yes
The boy is playing soccer therefore the boy is not playing soccer.,therefore,1,1,experimental,59,59,Yes.
The boy is playing soccer but the boy is not playing soccer.,but,1,1,experimental,60,60,Yes
The boy is playing soccer when the boy is not playing soccer.,when,1,1,experimental,61,61,Yes
The boy is playing soccer although the boy is not playing soccer.,although,1,1,experimental,62,62,Yes
The boy is playing soccer or the boy is not playing soccer.,or,0,1,experimental,63,63,No
"Maybe the boy is playing soccer, maybe the boy is not playing soccer.",maybe,0,1,experimental,64,64,no
"Perhaps the boy is playing soccer, perhaps the boy is not playing soccer.",perhaps,0,1,experimental,65,65,no
The boy might be playing soccer and the boy might not be playing soccer.,might,0,1,experimental,66,66,No
Jim showed the man his tickets and Jim did not show the man his tickets.,and,1,1,experimental,67,67,yes
Jim showed the man his tickets if Jim did not show the man his tickets.,if,1,1,experimental,68,68,Yes
Jim showed the man his tickets so Jim did not show the man his tickets.,so,1,1,experimental,69,69,Yes
Jim showed the man his tickets therefore Jim did not show the man his tickets.,therefore,1,1,experimental,70,70,Yes
Jim showed the man his tickets but Jim did not show the man his tickets.,but,1,1,experimental,71,71,Yes
Jim showed the man his tickets when Jim did not show the man his tickets.,when,1,1,experimental,72,72,Yes
Jim showed the man his tickets although Jim did not show the man his tickets.,although,1,1,experimental,73,73,yes
Jim showed the man his tickets or Jim did not show the man his tickets.,or,0,1,experimental,74,74,No
"Maybe Jim showed the man his tickets, maybe Jim did not show the man his tickets.",maybe,0,1,experimental,75,75,No
"Perhaps Jim showed the man his tickets, perhaps Jim did not show the man his tickets.",perhaps,0,1,experimental,76,76,No
Jim might show the man his tickets and Jim might not show the man his tickets.,might,0,1,experimental,77,77,no
Steve went to New York and Steve did not go to New York.,and,1,1,experimental,78,78,Yes.
Steve went to New York if Steve did not go to New York.,if,1,1,experimental,79,79,Yes
Steve went to New York so Steve did not go to New York.,so,1,1,experimental,80,80,Yes.
Steve went to New York therefore Steve did not go to New York.,therefore,1,1,experimental,81,81,Yes
Steve went to New York but Steve did not go to New York.,but,1,1,experimental,82,82,Yes
Steve went to New York when Steve did not go to New York.,when,1,1,experimental,83,83,Yes
Steve went to New York although Steve did not go to New York.,although,1,1,experimental,84,84,Yes
Steve went to New York or Steve did not go to New York.,or,0,1,experimental,85,85,No
"Maybe Steve went to New York, maybe Steve did not go to New York.",maybe,0,1,experimental,86,86,No
"Perhaps Steve went to New York, perhaps Steve did not go to New York.",perhaps,0,1,experimental,87,87,No
Steve might go to New York and Steve might not go to New York.,might,0,1,experimental,88,88,No
The kids go to the mall and the kids do not go to the mall.,and,1,1,experimental,89,89,Yes
The kids go to the mall if the kids do not go to the mall.,if,1,1,experimental,90,90,No
The kids go to the mall so the kids do not go to the mall.,so,1,1,experimental,91,91,Yes
The kids go to the mall therefore the kids do not go to the mall.,therefore,1,1,experimental,92,92,Yes.
The kids go to the mall but the kids do not go to the mall.,but,1,1,experimental,93,93,yes
The kids go to the mall when the kids do not go to the mall.,when,1,1,experimental,94,94,yes
The kids go to the mall although the kids do not go to the mall.,although,1,1,experimental,95,95,yes
The kids go to the mall or the kids do not go to the mall.,or,0,1,experimental,96,96,No
"Maybe the kids go to the mall, maybe the kids do not go to the mall.",maybe,0,1,experimental,97,97,No
"Perhaps the kids go to the mall, perhaps the kids do not go to the mall.",perhaps,0,1,experimental,98,98,No
The kids might go to the mall and the kids might not go to the mall.,might,0,1,experimental,99,99,No
The man has forgotten to do his homework and the man has not forgotten to do his homework.,and,1,1,experimental,100,100,yes
The man has forgotten to do his homework if the man has not forgotten to do his homework.,if,1,1,experimental,101,101,Yes
The man has forgotten to do his homework so the man has not forgotten to do his homework.,so,1,1,experimental,102,102,Yes
The man has forgotten to do his homework therefore the man has not forgotten to do his homework.,therefore,1,1,experimental,103,103,Yes
The man has forgotten to do his homework but the man has not forgotten to do his homework.,but,1,1,experimental,104,104,Yes
The man has forgotten to do his homework when the man has not forgotten to do his homework.,when,1,1,experimental,105,105,Yes
The man has forgotten to do his homework although the man has not forgotten to do his homework.,although,1,1,experimental,106,106,Yes.
The man has forgotten to do his homework or the man has not forgotten to do his homework.,or,0,1,experimental,107,107,No
"Maybe the man has forgotten to do his homework, maybe the man has not forgotten to do his homework.",maybe,0,1,experimental,108,108,no
"Perhaps the man has forgotten to do his homework, perhaps the man has not forgotten to do his homework.",perhaps,0,1,experimental,109,109,No
The man might have forgotten to do his homework and the man might not have forgotten to do his homework.,might,0,1,experimental,110,110,Yes
The mansion has ten rooms and the mansion does not have ten rooms.,and,1,1,experimental,111,111,Yes.
The mansion has ten rooms if the mansion does not have ten rooms.,if,1,1,experimental,112,112,Yes
The mansion has ten rooms so the mansion does not have ten rooms.,so,1,1,experimental,113,113,yes
The mansion has ten rooms therefore the mansion does not have ten rooms.,therefore,1,1,experimental,114,114,Yes.
The mansion has ten rooms but the mansion does not have ten rooms.,but,1,1,experimental,115,115,Yes
The mansion has ten rooms when the mansion does not have ten rooms.,when,1,1,experimental,116,116,yes
The mansion has ten rooms although the mansion does not have ten rooms.,although,1,1,experimental,117,117,yes
The mansion has ten rooms or the mansion does not have ten rooms.,or,0,1,experimental,118,118,No
"Maybe the mansion has ten rooms, maybe the mansion does not have ten rooms.",maybe,0,1,experimental,119,119,No
"Perhaps the mansion has ten rooms, perhaps the mansion does not have ten rooms.",perhaps,0,1,experimental,120,120,no
The mansion might have ten rooms and the mansion might not have ten rooms.,might,0,1,experimental,121,121,no
The tea in the kettle is done brewing and the tea in the kettle is not done brewing.,and,1,1,experimental,122,122,Yes
The tea in the kettle is done brewing if the tea in the kettle is not done brewing.,if,1,1,experimental,123,123,Yes
The tea in the kettle is done brewing so the tea in the kettle is not done brewing.,so,1,1,experimental,124,124,Yes
The tea in the kettle is done brewing therefore the tea in the kettle is not done brewing.,therefore,1,1,experimental,125,125,Yes.
The tea in the kettle is done brewing but the tea in the kettle is not done brewing.,but,1,1,experimental,126,126,yes
The tea in the kettle is done brewing when the tea in the kettle is not done brewing.,when,1,1,experimental,127,127,Yes
The tea in the kettle is done brewing although the tea in the kettle is not done brewing.,although,1,1,experimental,128,128,yes
The tea in the kettle is done brewing or the tea in the kettle is not done brewing.,or,0,1,experimental,129,129,No
"Maybe the tea in the kettle is done brewing, maybe the tea in the kettle is not done brewing.",maybe,0,1,experimental,130,130,Yes
"Perhaps the tea in the kettle is done brewing, perhaps the tea in the kettle is not done brewing.",perhaps,0,1,experimental,131,131,Yes.
The tea in the kettle might be done brewing and the tea in the kettle might not be done brewing.,might,0,1,experimental,132,132,No
The teacher assigned homework for the week and the teacher did not assign homework for the week.,and,1,1,experimental,133,133,yes
The teacher assigned homework for the week if the teacher did not assign homework for the week.,if,1,1,experimental,134,134,yes
The teacher assigned homework for the week so the teacher did not assign homework for the week.,so,1,1,experimental,135,135,yes
The teacher assigned homework for the week therefore the teacher did not assign homework for the week.,therefore,1,1,experimental,136,136,Yes.
The teacher assigned homework for the week but the teacher did not assign homework for the week.,but,1,1,experimental,137,137,yes
The teacher assigned homework for the week when the teacher did not assign homework for the week.,when,1,1,experimental,138,138,yes
The teacher assigned homework for the week although the teacher did not assign homework for the week.,although,1,1,experimental,139,139,yes
The teacher assigned homework for the week or the teacher did not assign homework for the week.,or,0,1,experimental,140,140,No
"Maybe the teacher assigned homework for the week, maybe the teacher did not assign homework for the week.",maybe,0,1,experimental,141,141,No
"Perhaps the teacher assigned homework for the week, perhaps the teacher did not assign homework for the week.",perhaps,0,1,experimental,142,142,No
The teacher might assign homework for the week and the teacher might not assign homework for the week.,might,0,1,experimental,143,143,no
I ran into my classmate at the mall and I did not run into my classmate at the mall.,and,1,1,experimental,144,144,Yes.
