Prompt,Continuation,Condition,Study,Type,Original order,Response
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Yosemite is a great hiking destination.",Contradictory,Control,created,Easy Good,102,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim was upset with me yesterday. He thought I ate his cake, but I didn't.",Contradictory,Control,created,Good Filler,74,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Right now, I know the content of the talk I just gave very well, but in a year I will be incapable of remembering anything at all.",NOR,Control,original,Good Filler,32,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jane is worried. She got to the airport without her passport or her credit card. She forgot all her personal stuff in the cab to the airport!",NOR,Experimental,original,Without,7,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  So he got an A on both tests.",Contradictory,Experimental,original,Negation,4,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Kate used to live without coffee or chocolate. I don't remember which.",NAND,Experimental,original,Without,12,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I understood correctly, John was scolded by his father yesterday. Today his mother tried to put an end to it.",NOR,Control,original,Bad Filler,47,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The train didn’t get here on time, but nobody told us why.",NOR,Control,original,Good Filler,27,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  I wonder which of the two he decided to give up.",NAND,Experimental,original,Without,11,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I wonder why John didn’t stay until the end of the meeting yesterday. As far as I know, he had to leave early because he had to pick up his kid from the airport.",NOR,Control,original,Good Filler,34,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t go on holidays this year. I can’t remember where.",NOR,Control,original,Bad Filler,42,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Mary doesn’t play softball or soccer. I don’t know which.",NAND,Experimental,created,Negation,54,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Two theses from our department participated in the Best Doctoral Dissertation Award Competition, but neither of them won.",NOR,Control,original,Good Filler,29,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people are able to recite the national anthem or the pledge of allegiance. So most can recite both.",Contradictory,Experimental,created,Other DE,67,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: When he was little, John would rarely sleep with his mother or his father. So he liked to sleep with one parent on each side of him.",Contradictory,Experimental,original,Other DE,17,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The soccer game was very exciting.",Contradictory,Control,created,Easy Good,101,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Weddings are a very lovely time.",Contradictory,Control,created,Easy Good,100,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: It's cold outside. It's not cold outside.",Contradictory,Control,created,Easy Bad,113,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John saw two performances by this artist. He thinks he is the best opera singer he ever listened to.",NOR,Control,original,Good Filler,22,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: It seems John has lived here for years without medical or house insurance. Only now has it occurred to him that he needs both of them.",NOR,Experimental,original,Without,8,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t get the job. He didn’t bring his resume or a list of references. I don’t know which.",NAND,Experimental,created,Negation,59,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My aunt was very happy this morning. She was excited to see her friend after a long time.",Contradictory,Control,created,Good Filler,73,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The tea in the kettle was very hot.",Contradictory,Control,created,Easy Good,94,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy came back from the mall without buying a sweater or perfume So just like she always does, Amy came back from the mall with a new sweater and some expensive perfume.",Contradictory,Experimental,created,Without,65,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I like the snow. I don't like the snow.",Contradictory,Control,created,Easy Bad,118,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Her phone is about to run out of battery. Her phone is not about to run out of battery.",Contradictory,Control,created,Easy Bad,127,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The trees are very green this time of year.",Contradictory,Control,created,Easy Good,105,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I like orange juice. I hate orange juice.",Contradictory,Control,created,Easy Bad,112,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary always brags about her famous cherry pie recipe. She's very proud of it.",Contradictory,Control,created,Good Filler,72,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My grandmother made these cookies without rum or cinnamon. I can’t remember which.",NAND,Experimental,original,Without,9,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people chose to take Calculus or Statistics. I don’t know which.",NAND,Experimental,created,Other DE,66,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I wonder how Jane manages to look so young at 62. I guess she must have a healthy diet.",NOR,Control,original,Good Filler,33,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John doubts that Sue played football or tennis. He thinks she focused on one of the two.",NAND,Experimental,original,Other DE,15,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I remember there was a family conflict. Mary didn’t speak with her mother or her sister. She was only talking with her father after that.",NOR,Experimental,original,Negation,5,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The school bus always comes on time.",Contradictory,Control,created,Easy Good,108,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Driving to work during rush hour is hard.",Contradictory,Control,created,Easy Good,104,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary didn’t like the restaurant we went to last night. She thought it was too expensive.",NOR,Control,original,Good Filler,24,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My name is Jessica. My name is not Jessica.",Contradictory,Control,created,Easy Bad,114,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, the war started three years ago. A year earlier, the United Nations tried to put an end to it.",NOR,Control,original,Bad Filler,49,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The customer praised only the dessert. The happy customer praised the appetizer.",NOR,Control,original,Bad Filler,48,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I will always remember to submit my homework on time. There must be a shrimp in my soup.",Contradictory,Control,created,Bad Filler,91,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: What is your impression after meeting our two new PhD students, Lina and Leo, today? Lina seems very motivated and with a strong background in syntax, but Leo, I cannot really tell.",NOR,Control,original,Good Filler,35,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The tree is old. The tree is not old.",Contradictory,Control,created,Easy Bad,123,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. So she did really well on the grammar questions and the vocabulary words.",Contradictory,Experimental,created,Negation,58,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some solutions were discussed during the meeting, but I could remember which one was retained.",NOR,Control,original,Bad Filler,39,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: One of my teachers hates me, but I will not remember which.",Contradictory,Control,created,Bad Filler,90,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: They haven't had another event at this school after the bomb threats last year.",Contradictory,Control,created,Good Filler,82,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people took the appetizer or the dessert. I don’t remember which.",NAND,Experimental,original,Other DE,13,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The earthquake affected some buildings in our area. Luckily no building was affected.",NOR,Control,original,Bad Filler,38,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My grandparents have a hard time understanding me. English is not their first language.",Contradictory,Control,created,Good Filler,83,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: He walked the dog yesterday. He did not walk the dog yesterday.",Contradictory,Control,created,Easy Bad,122,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I forgot to eat dinner. I didn't forget to eat dinner.",Contradictory,Control,created,Easy Bad,125,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary was very happy this morning. She gave a good talk at the conference on Monday.",NOR,Control,original,Good Filler,28,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: China doesn’t trust the Korean dictator, but they trust President Trump even more.",NOR,Control,original,Bad Filler,52,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary didn’t let us know her decision yet. She will have done that already.",NOR,Control,original,Bad Filler,43,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I didn’t know the neighbors before moving here, even if I find it really generous.",NOR,Control,original,Bad Filler,45,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I spent all night cramming for my test today. I'll definitely forget all the information I just learned by tomorrow.",Contradictory,Control,created,Good Filler,78,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, John doesn’t drink wine or beer.  So he drinks both.",Contradictory,Experimental,original,Negation,1,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some countries have very strict politics against immigration. This situation is not going to change anytime soon.",NOR,Control,original,Good Filler,23,3
