Iteration,Type,Sentence,Category,Correct Response,Model Response,Order,Correct,Matched Response
1,simple_pos,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have a lion?",experimental,"[{'🐇', '🦁'}, {'🐖', '🦁'}, {'🦁'}]","[{'🐇', '🦁'}, {'🐖', '🦁'}, {'🦁'}]",1,1,0
1,simple_neg,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets do not have a lion?",experimental,"[{'🐖'}, {'🐇'}, {'🐇', '🐖'}]","[{'🐖'}, {'🐇'}, {'🐇', '🐖'}]",2,1,0
1,simple_pos_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have a rabbit or lion?",experimental,"([{'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}], [{'🐇'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}])","[{'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}]",3,1,0
1,comp_pos_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have either a lion or rabbit?",experimental,"([{'🐇'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}], [{'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}])","[{'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}]",4,1,1
1,simple_neg_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets do not have a rabbit or pig?",experimental,"([{'🦁'}], [{'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🦁'}])",[{'🦁'}],5,1,0
1,comp_neg_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets do not have either a lion or pig?",experimental,"([{'🐇'}, {'🐖', '🦁'}], [{'🐇'}])",[{'🐇'}],6,1,1
1,simple_neg_conj,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets do not have a lion and pig?",experimental,"([{'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐇', '🐖'}, {'🦁'}], [{'🐇'}])","[{'🐇'}, {'🦁'}]",7,0,-1
1,inc_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have a pig or rabbit or both?",control,"[{'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}]","[{'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}]",8,1,0
1,ex_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have a lion or pig, but not both?",control,"[{'🐖'}, {'🐇', '🦁'}, {'🐇', '🐖'}, {'🦁'}]","[{'🐖'}, {'🦁'}]",9,0,-1
1,comp_neg,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have neither a pig nor rabbit?",control,[{'🦁'}],[{'🦁'}],10,1,0
