Sentence,Connective,Contradiction,Type,Original order,Total order,LogProb
She likes apples and she does not like apples.,and,1,experimental,1,1,[-4.17841796875]
She likes apples if she does not like apples.,if,1,experimental,2,2,[-4.72578125]
She likes apples so she does not like apples.,so,1,experimental,3,3,[-4.45390625]
She likes apples therefore she does not like apples.,therefore,1,experimental,4,4,[-4.8478515625]
She likes apples but she does not like apples.,but,1,experimental,5,5,[-4.2400390625]
She likes apples when she does not like apples.,when,1,experimental,6,6,[-4.640625]
She likes apples although she does not like apples.,although,1,experimental,7,7,[-4.6041015625]
She likes apples or she does not like apples.,or,0,experimental,8,8,[-4.3337890625]
"Maybe she likes apples, maybe she does not like apples.",maybe,0,experimental,9,9,[-3.5065104166666665]
"Perhaps she likes apples, perhaps she does not like apples.",perhaps,0,experimental,10,10,[-3.71875]
She might like apples and she might not like apples.,might,0,experimental,11,11,[-3.9892578125]
Jim was born in California and Jim was not born in California.,and,1,experimental,12,12,[-3.5179161658653846]
Jim was born in California if Jim was not born in California.,if,1,experimental,13,13,[-4.085223858173077]
Jim was born in California so Jim was not born in California.,so,1,experimental,14,14,[-3.867412860576923]
Jim was born in California therefore Jim was not born in California.,therefore,1,experimental,15,15,[-3.854191706730769]
Jim was born in California but Jim was not born in California.,but,1,experimental,16,16,[-3.8111478365384617]
Jim was born in California when Jim was not born in California.,when,1,experimental,17,17,[-3.9390024038461537]
Jim was born in California although Jim was not born in California.,although,1,experimental,18,18,[-4.0479266826923075]
Jim was born in California or Jim was not born in California.,or,0,experimental,19,19,[-3.892352764423077]
"Maybe Jim was born in California, maybe Jim was not born in California.",maybe,0,experimental,20,20,[-3.08349609375]
"Perhaps Jim was born in California, perhaps Jim was not born in California.",perhaps,0,experimental,21,21,[-3.22900390625]
Jim might be born in California and Jim might not be born in California.,might,0,experimental,22,22,[-3.2588785807291667]
The dog is alive and the dog is not alive.,and,1,experimental,23,23,[-3.926669034090909]
The dog is alive if the dog is not alive.,if,1,experimental,24,24,[-4.4030539772727275]
The dog is alive so the dog is not alive.,so,1,experimental,25,25,[-4.479403409090909]
The dog is alive therefore the dog is not alive.,therefore,1,experimental,26,26,[-4.857244318181818]
The dog is alive but the dog is not alive.,but,1,experimental,27,27,[-4.191051136363637]
The dog is alive when the dog is not alive.,when,1,experimental,28,28,[-4.526988636363637]
The dog is alive although the dog is not alive.,although,1,experimental,29,29,[-4.640625]
The dog is alive or the dog is not alive.,or,0,experimental,30,30,[-3.7255859375]
"Maybe the dog is alive, maybe the dog is not alive.",maybe,0,experimental,31,31,[-3.07568359375]
"Perhaps the dog is alive, perhaps the dog is not alive.",perhaps,0,experimental,32,32,[-3.3325946514423075]
The dog might be alive and the dog might not be alive.,might,0,experimental,33,33,[-3.614483173076923]
The cat chases the mouse and the cat does not chase the mouse.,and,1,experimental,34,34,[-2.9634114583333333]
The cat chases the mouse if the cat does not chase the mouse.,if,1,experimental,35,35,[-3.1493815104166667]
The cat chases the mouse so the cat does not chase the mouse.,so,1,experimental,36,36,[-3.3276692708333333]
The cat chases the mouse therefore the cat does not chase the mouse.,therefore,1,experimental,37,37,[-3.4848958333333333]
The cat chases the mouse but the cat does not chase the mouse.,but,1,experimental,38,38,[-3.0192545572916667]
The cat chases the mouse when the cat does not chase the mouse.,when,1,experimental,39,39,[-3.118424479166667]
The cat chases the mouse although the cat does not chase the mouse.,although,1,experimental,40,40,[-3.33125]
The cat chases the mouse or the cat does not chase the mouse.,or,0,experimental,41,41,[-2.8982259114583333]
"Maybe the cat chases the mouse, maybe the cat does not chase the mouse.",maybe,0,experimental,42,42,[-2.6069694967830883]
"Perhaps the cat chases the mouse, perhaps the cat does not chase the mouse.",perhaps,0,experimental,43,43,[-2.7535113166360294]
The cat might chase the mouse and the cat might not chase the mouse.,might,0,experimental,44,44,[-3.3972819010416666]
I have a car and I do not have a car.,and,1,experimental,45,45,[-3.126953125]
I have a car if I do not have a car.,if,1,experimental,46,46,[-3.8138020833333335]
I have a car so I do not have a car.,so,1,experimental,47,47,[-3.76953125]
I have a car therefore I do not have a car.,therefore,1,experimental,48,48,[-4.0096435546875]
I have a car but I do not have a car.,but,1,experimental,49,49,[-3.1216227213541665]
I have a car when I do not have a car.,when,1,experimental,50,50,[-3.4173177083333335]
I have a car although I do not have a car.,although,1,experimental,51,51,[-3.6771647135416665]
I have a car or I do not have a car.,or,0,experimental,52,52,[-3.11407470703125]
"Maybe I have a car, maybe I do not have a car.",maybe,0,experimental,53,53,[-2.7764892578125]
"Perhaps I have a car, perhaps I do not have a car.",perhaps,0,experimental,54,54,[-2.843296595982143]
I might have a car and I might not have a car.,might,0,experimental,55,55,[-3.142277644230769]
The boy is playing soccer and the boy is not playing soccer.,and,1,experimental,56,56,[-3.3814603365384617]
The boy is playing soccer if the boy is not playing soccer.,if,1,experimental,57,57,[-3.6723257211538463]
The boy is playing soccer so the boy is not playing soccer.,so,1,experimental,58,58,[-3.8780048076923075]
The boy is playing soccer therefore the boy is not playing soccer.,therefore,1,experimental,59,59,[-4.024939903846154]
The boy is playing soccer but the boy is not playing soccer.,but,1,experimental,60,60,[-3.4951923076923075]
The boy is playing soccer when the boy is not playing soccer.,when,1,experimental,61,61,[-3.632061298076923]
The boy is playing soccer although the boy is not playing soccer.,although,1,experimental,62,62,[-3.8578725961538463]
The boy is playing soccer or the boy is not playing soccer.,or,0,experimental,63,63,[-3.4593130258413463]
"Maybe the boy is playing soccer, maybe the boy is not playing soccer.",maybe,0,experimental,64,64,[-2.9205973307291666]
"Perhaps the boy is playing soccer, perhaps the boy is not playing soccer.",perhaps,0,experimental,65,65,[-3.1623209635416667]
The boy might be playing soccer and the boy might not be playing soccer.,might,0,experimental,66,66,[-3.3517171223958333]
Jim showed the man his tickets and Jim did not show the man his tickets.,and,1,experimental,67,67,[-4.16326904296875]
Jim showed the man his tickets if Jim did not show the man his tickets.,if,1,experimental,68,68,[-4.166748046875]
Jim showed the man his tickets so Jim did not show the man his tickets.,so,1,experimental,69,69,[-4.21221923828125]
Jim showed the man his tickets therefore Jim did not show the man his tickets.,therefore,1,experimental,70,70,[-4.219482421875]
