Testing,Instructions,Condition,Study,Type,Proposition,NAND,NOR,Positive AND
Testing how the models do with the same prompt and stimuli as the original study but with new controls (to test if they really understand the logical connectives or not). (testing if they can identify weird interpretations of logical connective),"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Negation,"If I remember correctly, John doesn’t drink wine or beer. ",I don’t know which.,The doctor has forbidden him alcohol.,So he drinks both.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Negation,"It’s cold in this house. I bet you, John didn’t close the window or the back door. ",I wonder which one of those two we’ll find open.,"Look, just as I said, both of them are wide open!","So, look, both the window and back door are closed."
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Negation,"If I remember correctly, Mary didn’t invite John or Suzi to her birthday party.",I don’t know which of them.,She’s upset with both of them and doesn’t want to see them.,So she invited them both.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Negation,"John is upset. Clearly, he didn’t pass the semantics or the syntax exam. ",I wonder which it was.,And it wouldn’t be the first time he failed those classes.,So he got an A on both tests.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Negation,I remember there was a family conflict. Mary didn’t speak with her mother or her sister.,I don’t know which.,She was only talking with her father after that.,So she talked to them both yesterday.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Negation,Mary doesn’t like cats or dogs.,I don’t remember which.,She had traumatizing experiences with both.,So she likes all animals.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Without,Jane is worried. She got to the airport without her passport or her credit card.,I don't remember which.,She forgot all her personal stuff in the cab to the airport!,So she had her passport and her credit card in her bag.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Without,It seems John has lived here for years without medical or house insurance.,I don’t remember which one.,Only now has it occurred to him that he needs both of them.,So John spends a lot on medical and house insurance.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Without,My grandmother made these cookies without rum or cinnamon.,I can’t remember which.,Instead of those ingredients she added homemade brandy.,So the cookies tasted like rum and cinnamon.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Without,John went on holiday without his mother or his father.,I don’t remember which.,It's the first time he travels by himself.,So he took them both on vacation because it's their anniversary.
