Prompt,Continuation,Condition,Study,Response
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John rarely visits his sister or his mother. I don’t remember which. ",NAND,Experimental_O,original,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The cactus in Jim's yard is taller than him, even if he finds it ubiquitous.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy hates cilantro. She says it tastes like soap to her.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Paul can’t stand his colleagues, but I don’t know why.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim is almost always on time. He says he sets three alarm clocks to wake him up in the morning.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Julie tried to seduce Jim at the party. And Mary did the same thing with Paul.",none,Control,original,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jamie doesn’t like trees or flowers. I don’t remember which.",NAND,Experimental_N,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: It seems John has lived here for years without medical or house insurance. I don’t remember which one. ",NAND,Experimental_W,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim only likes opera music. Jim went to a rock concert last night.",none,Control,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Right now, I know the content of the talk I just gave very well, but in a year I will be incapable of remembering anything at all.",none,Control,original,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I didn’t know the neighbors before moving here, even if I find it really generous.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I spent all night cramming for my test today. I'll definitely forget all the information I just learned by tomorrow.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary doesn’t like cats or dogs. She had traumatizing experiences with both.",NOR,Experimental_N,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary didn’t let us know her decision yet. She will have done that already.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The earthquake affected some buildings in our area. Luckily no building was affected.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I really liked the concert. The cellist should be playing brilliantly.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Winter is Mary's favorite season. She loves the snow.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: There were some countries targeted for the attack, but I will not remember which.",none,Control,original,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John rarely goes to the grocery story or the post office. He doesn’t really leave his house.",NOR,Experimental_O,created,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary doubts that Paul read The Brothers Karamazov or Anna Karenina.  So she knows he's read all the classics of Russian literature.",Positive AND,Experimental_O,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I spent all night cramming for my test today. I'll definitely forget all the information I just learned by tomorrow.",none,Control,created,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy hates cilantro. She says it tastes like soap to her.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. She’s happy she doesn’t have any tickets to pay.",NOR,Experimental_W,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I wonder how Jane manages to look so young at 62. I guess she must have a healthy diet.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John's son is a very picky eater. The only thing he'll willingly eat is mac and cheese.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John invited Mary to a barbecue restaurant yesterday. She declined because she's vegetarian.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The earthquake affected some buildings in our area. Luckily no building was affected.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Two of the suspects were caught yesterday, but no names have been released yet.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary doubts that John watched Mission Impossible or James Bond. She thinks he only saw one.",NAND,Experimental_O,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I hate bugs. I spent my last savings on a pet tarantula.",none,Control,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: When we ate at the seafood restaurant, my brother's face puffed up and turned red. That's how we found out he has a seafood allergy.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: What is your impression after meeting our two new PhD students, Lina and Leo, today? Lina seems very motivated and with a strong background in syntax, but Leo, I cannot really tell.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My aunt was very happy this morning. She was excited to see her friend after a long time. ",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t like the movie we went to last night. He thought it was too boring.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Mary doesn’t play softball or soccer. She doesn’t play any ball sports.",NOR,Experimental_N,created,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary rarely speaks German or French. She usually only speaks English.",NOR,Experimental_O,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: She said the new movie will be out next December. I can only remember pieces of it.",none,Control,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The property tax raise affected many families in the area. Luckily no families were affected.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I understood correctly, John was scolded by his father yesterday. Today his mother tried to put an end to it.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John doubts that Sue played football or tennis.  He thinks she never did any ball sports.",NOR,Experimental_O,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t get the job. He didn’t bring his resume or a list of references. I don’t know which.",NAND,Experimental_N,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary is sad. She left the restaurant without a sandwich or a cake. They were out of both. ",NOR,Experimental_W,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I remember there was a family conflict. Mary didn’t speak with her mother or her sister.  So she talked to them both yesterday. ",Positive AND,Experimental_N,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary was very happy this morning. She gave a good talk at the conference on Monday.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I love going to the gym. I'm there almost every day.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Mary doesn’t play softball or soccer. So she plays both for her school team.",Positive AND,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t get the job. He didn’t bring his resume or a list of references. I don’t know which.",NAND,Experimental_N,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The results of the election are not out yet, but I don't remember who won.",none,Control,original,4
