Iteration,Type,Sentence,Category,Correct Response
1,simple_pos,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have a lion?",experimental,"[{'🐇', '🦁'}, {'🐖', '🦁'}, {'🦁'}]"
1,simple_neg,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets do not have a lion?",experimental,"[{'🐖'}, {'🐇'}, {'🐇', '🐖'}]"
1,simple_pos_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have a rabbit or lion?",experimental,"([{'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}], [{'🐇'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}])"
1,comp_pos_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have either a lion or rabbit?",experimental,"([{'🐇'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}], [{'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}])"
1,simple_neg_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets do not have a rabbit or pig?",experimental,"([{'🦁'}], [{'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🦁'}])"
1,comp_neg_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets do not have either a lion or pig?",experimental,"([{'🐇'}, {'🐖', '🦁'}], [{'🐇'}])"
1,simple_neg_conj,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets do not have a lion and pig?",experimental,"([{'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐇', '🐖'}, {'🦁'}], [{'🐇'}])"
1,inc_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have a pig or rabbit or both?",control,"[{'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}]"
1,ex_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have a lion or pig, but not both?",control,"[{'🐖'}, {'🐇', '🦁'}, {'🐇', '🐖'}, {'🦁'}]"
1,comp_neg,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have neither a pig nor rabbit?",control,[{'🦁'}]
1,simple_pos_conj,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets have a lion and rabbit?",control,"[{'🐇', '🦁'}]"
1,comp_neg_conj,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🐇', '🦁'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}, which sets do not have both a rabbit and lion?",control,"([{'🐖'}, {'🐇'}, {'🐖', '🦁'}, {'🐇', '🐖'}, {'🦁'}], [{'🐖'}])"
2,simple_pos,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets have a skunk?",experimental,"[{'🦨', '🦍'}, {'🦨'}, {'🐖', '🦨'}]"
2,simple_neg,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets do not have a pig?",experimental,"[{'🦨', '🦍'}, {'🦨'}, {'🦍'}]"
