Prompt,Continuation,Condition,Study,Type,Original order,Response
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t get the job. He didn’t bring his resume or a list of references. He didn’t bring either.",NOR,Experimental,created,Negation,59,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Julie tried to seduce Jim at the party. And Mary did the same thing with Paul.",Contradictory,Control,original,Filler,30,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Yosemite is a great hiking destination.",Contradictory,Control,created,Easy,102,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people chose to take Calculus or Statistics. I don’t know which.",NAND,Experimental,created,Other DE,66,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I drove to the store to buy some milk.",Contradictory,Control,created,Easy,111,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Kate used to live without coffee or chocolate. So she used to buy a lot of lattes and chocolate chip cookies.",Contradictory,Experimental,original,Without,12,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, John doesn’t drink orange juice or apple juice. So he loves all types of fruit juice.",Contradictory,Experimental,created,Negation,53,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The tea in the kettle was very hot.",Contradictory,Control,created,Easy,94,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The property tax raise affected many families in the area. Luckily no families were affected.",Contradictory,Control,created,Filler,88,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy has three jobs. I don't know how she does it.",Contradictory,Control,created,Filler,87,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, the war started three years ago. A year earlier, the United Nations tried to put an end to it.",Contradictory,Control,original,Filler,49,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary didn’t let us know her decision yet. She will have done that already.",Contradictory,Control,original,Filler,43,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary always brags about her famous cherry pie recipe. She's very proud of it.",Contradictory,Control,created,Filler,72,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people are able to recite the national anthem or the pledge of allegiance. I don’t remember which.",NAND,Experimental,created,Other DE,67,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My sister told me to walk the dog.",Contradictory,Control,created,Easy,106,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Running into my classmates at the mall is very common.",Contradictory,Control,created,Easy,98,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim hasn't been to the movie theater in years. He hates the smell of popcorn.",Contradictory,Control,created,Filler,81,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The trash is overflowing in my apartment.",Contradictory,Control,created,Easy,103,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Mary doesn’t play softball or soccer. So she plays both for her school team.",Contradictory,Experimental,created,Negation,54,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I will always remember to submit my homework on time. There must be a shrimp in my soup.",Contradictory,Control,created,Filler,91,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary was upset about failing the test, even if I find it really expensive. ",Contradictory,Control,created,Filler,89,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I spent all night cramming for my test today. I'll definitely forget all the information I just learned by tomorrow.",Contradictory,Control,created,Filler,78,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary rarely speaks German or French. So she often switches between both.",Contradictory,Experimental,created,Other DE,71,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim is almost always on time. He says he sets three alarm clocks to wake him up in the morning.",Contradictory,Control,created,Filler,77,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My mom doesn't like the sound of loud chewing.",Contradictory,Control,created,Easy,93,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jamie doesn’t like trees or flowers. So she's a huge nature buff.",Contradictory,Experimental,created,Negation,56,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some of the students speak English well, but not all of them.",Contradictory,Control,original,Filler,19,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Right now, I know the content of the talk I just gave very well, but in a year I will be incapable of remembering anything at all.",Contradictory,Control,original,Filler,32,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy hates cilantro. She says it tastes like soap to her.",Contradictory,Control,created,Filler,80,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John made it through all of college without buying coffee or bread. I forget which.",NAND,Experimental,created,Without,64,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I was late to work today. The traffic this morning was much worse than usual.",Contradictory,Control,created,Filler,76,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: It’s cold in this house. I bet you, John didn’t close the window or the back door.  Look, just as I said, both of them are wide open!",NOR,Experimental,original,Negation,2,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. I don’t know which.",NAND,Experimental,created,Negation,58,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: When he was little, John would rarely sleep with his mother or his father. I don’t remember which.",NAND,Experimental,original,Other DE,17,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Sometimes it snows heavily during the winter.",Contradictory,Control,created,Easy,97,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The mansion was very big.",Contradictory,Control,created,Easy,92,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. I don’t know which of them.",NAND,Experimental,original,Negation,3,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: She said that a biography of one of the US presidents will be out this year, but I can’t remember any of it.",Contradictory,Control,original,Filler,50,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Winter is Mary's favorite season. She loves the snow.",Contradictory,Control,created,Filler,79,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I wonder why John didn’t stay until the end of the meeting yesterday. As far as I know, he had to leave early because he had to pick up his kid from the airport.",Contradictory,Control,original,Filler,34,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy came back from the mall without buying a sweater or perfume I'm not sure which.",NAND,Experimental,created,Without,65,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My grandmother made these cookies without rum or cinnamon. Instead of those ingredients she added homemade brandy.",NOR,Experimental,original,Without,9,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary didn’t like the restaurant we went to last night. She thought it was too expensive.",Contradictory,Control,original,Filler,24,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Friendship is very important to me.",Contradictory,Control,created,Easy,109,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Paul can’t stand his colleagues, but I don’t know why.",Contradictory,Control,original,Filler,25,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: They shut down some museums after the attacks. But I don’t know which ones.",Contradictory,Control,original,Filler,21,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: China doesn’t trust the Korean dictator, but they trust President Trump even more.",Contradictory,Control,original,Filler,52,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Driving to work during rush hour is hard.",Contradictory,Control,created,Easy,104,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The school bus always comes on time.",Contradictory,Control,created,Easy,108,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary was very happy this morning. She gave a good talk at the conference on Monday.",Contradictory,Control,original,Filler,28,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: It seems John has lived here for years without medical or house insurance. I don’t remember which one.",NAND,Experimental,original,Without,8,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I didn’t know the neighbors before moving here, even if I find it really generous.",Contradictory,Control,original,Filler,45,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some solutions were discussed during the meeting, but I could remember which one was retained.",Contradictory,Control,original,Filler,39,4
