Iteration,Type,Sentence,Category,Correct Response,Model Response,Order
1,simple_pos,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 8?",experimental,"['06180888', '85011310', '09549875']","[06180888, 85011310, 09549875]",1
1,simple_neg,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digit 6?",experimental,"['85011310', '09549875', '23437552']","[85011310, 09549875, 79167597, 23437552]",2
1,simple_pos_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digits 6 or 8?",experimental,"(['06180888', '85011310', '67175093', '09549875', '79167597'], ['85011310', '67175093', '09549875', '79167597'])","[06180888, 85011310, 67175093]",3
1,comp_pos_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have either the digits 6 or 8?",experimental,"(['85011310', '67175093', '09549875', '79167597'], ['06180888', '85011310', '67175093', '09549875', '79167597'])","[06180888, 85011310, 67175093, 09549875]",4
1,simple_neg_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digits 6 or 8?",experimental,"(['23437552'], ['85011310', '67175093', '09549875', '79167597', '23437552'])","[85011310, 09549875, 23437552]",5
1,comp_neg_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have either the digits 8 or 3?",experimental,"(['85011310', '79167597'], ['79167597'])","[67175093, 09549875, 79167597]",6
1,simple_neg_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digits 8 and 3?",experimental,"(['06180888', '67175093', '09549875', '79167597', '23437552'], ['79167597'])","[06180888, 67175093, 09549875, 79167597]",7
1,inc_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 8 or 3 or both?",control,"['06180888', '85011310', '67175093', '09549875', '23437552']","[06180888, 85011310, 23437552]",8
1,ex_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 3 or 6, but not both?",control,"['06180888', '85011310', '79167597', '23437552']","[06180888, 79167597, 23437552]",9
1,comp_neg,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have neither the digit 8 nor 6?",control,['23437552'],"[9504975, 79175797, 23437552]",10
1,simple_pos_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digits 6 and 8?",control,['06180888'],"[06180888, 67175093]",11
1,comp_neg_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have both the digits 3 and 6?",control,"(['06180888', '85011310', '09549875', '79167597', '23437552'], ['09549875'])","[06180888, 85011310, 09549875, 79167597, 23437552]",12
2,simple_pos,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digit 1?",experimental,"['76513282', '41431201', '69777137']","[76513282, 41431201]",13
2,simple_neg,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have the digit 1?",experimental,"['04930587', '50689723', '22034754']","[04930587, 50689723, 22034754, 69777137]",14
