Iteration,Type,Sentence,Category,Correct Response
1,simple_pos,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 8?",experimental,"['06180888', '85011310', '09549875']"
1,simple_neg,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digit 6?",experimental,"['85011310', '09549875', '23437552']"
1,simple_pos_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digits 6 or 8?",experimental,"(['06180888', '85011310', '67175093', '09549875', '79167597'], ['85011310', '67175093', '09549875', '79167597'])"
1,comp_pos_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have either the digits 6 or 8?",experimental,"(['85011310', '67175093', '09549875', '79167597'], ['06180888', '85011310', '67175093', '09549875', '79167597'])"
1,simple_neg_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digits 6 or 8?",experimental,"(['23437552'], ['85011310', '67175093', '09549875', '79167597', '23437552'])"
1,comp_neg_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have either the digits 8 or 3?",experimental,"(['85011310', '79167597'], ['79167597'])"
1,simple_neg_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digits 8 and 3?",experimental,"(['06180888', '67175093', '09549875', '79167597', '23437552'], ['79167597'])"
1,inc_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 8 or 3 or both?",control,"['06180888', '85011310', '67175093', '09549875', '23437552']"
1,ex_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 3 or 6, but not both?",control,"['06180888', '85011310', '79167597', '23437552']"
1,comp_neg,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have neither the digit 8 nor 6?",control,['23437552']
1,simple_pos_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digits 6 and 8?",control,['06180888']
1,comp_neg_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have both the digits 3 and 6?",control,"(['06180888', '85011310', '09549875', '79167597', '23437552'], ['09549875'])"
2,simple_pos,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digit 1?",experimental,"['76513282', '41431201', '69777137']"
2,simple_neg,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have the digit 1?",experimental,"['04930587', '50689723', '22034754']"
2,simple_pos_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digits 4 or 1?",experimental,"(['04930587', '76513282', '41431201', '22034754', '69777137'], ['04930587', '76513282', '22034754', '69777137'])"
