Iteration,Type,Sentence,Category,Correct Response
1,simple_pos,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the word cat?",experimental,"['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'The black cat is bad luck.']"
1,simple_neg,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have the word plant?",experimental,"['The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.']"
1,simple_pos_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the words plant or dog?",experimental,"(['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.'], ['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.'])"
1,comp_pos_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have either the words dog or cat?",experimental,"(['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'I took my dog to the park.', 'The black cat is bad luck.'], ['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.'])"
1,simple_neg_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have the words plant or dog?",experimental,"(['The black cat is bad luck.'], ['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.', 'I only have one plant in my living room.'])"
1,comp_neg_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have either the words dog or cat?",experimental,"(['The dog chased the cat around the neighborhood.', 'I only have one plant in my living room.'], ['I only have one plant in my living room.'])"
1,simple_neg_conj,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have the words cat and plant?",experimental,"(['The dog knocked over the plant.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.', 'I only have one plant in my living room.'], ['I took my dog to the park.'])"
1,inc_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the word dog or plant or both?",control,"['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.']"
1,ex_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the word dog or plant, but not both?",control,"['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.']"
1,comp_neg,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have neither the word plant nor cat?",control,['I took my dog to the park.']
1,simple_pos_conj,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the words dog and plant?",control,['The dog knocked over the plant.']
1,comp_neg_conj,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have both the words plant and cat?",control,"(['The dog knocked over the plant.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.', 'I only have one plant in my living room.'], ['I took my dog to the park.'])"
2,simple_pos,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences have the word computer?",experimental,"['The green juice spilled all over the computer.', 'The computer had a really large paint stain on it.', 'There is a computer on the table.']"
2,simple_neg,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences do not have the word paint?",experimental,"['The green juice spilled all over the computer.', 'There was green mold growing on the old cheese.', 'There is a computer on the table.']"
2,simple_pos_dis,"In the list of sentences: The green juice spilled all over the computer., The green paint was vibrant in color., The computer had a really large paint stain on it., There was green mold growing on the old cheese., There is a computer on the table., The wall had a fresh layer of paint., which sentences have the words paint or computer?",experimental,"(['The green juice spilled all over the computer.', 'The green paint was vibrant in color.', 'The computer had a really large paint stain on it.', 'There is a computer on the table.', 'The wall had a fresh layer of paint.'], ['The green juice spilled all over the computer.', 'The green paint was vibrant in color.', 'There is a computer on the table.', 'The wall had a fresh layer of paint.'])"
