Prompt,Continuation,Condition,Study,Type,Original order,Response
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Amy hates cilantro. She says it tastes like soap to her.",NAND,Control,created,Good Filler,80,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Driving to work during rush hour is hard.",NAND,Control,created,Easy Good,104,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): China doesn’t trust the Korean dictator, but they trust President Trump even more.",NOR,Control,original,Bad Filler,52,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): She can play the piano. She cannot play the piano.",NAND,Control,created,Easy Bad,116,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My dog is small. My dog is not small.",NAND,Control,created,Easy Bad,130,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): When he was little, John would rarely sleep with his mother or his father. I don’t remember which.",NAND,Experimental,original,Other DE,17,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John didn’t get the job. He didn’t bring his resume or a list of references. He didn’t bring either.",NOR,Experimental,created,Negation,59,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The teacher assigned homework for the week.",NAND,Control,created,Easy Good,96,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary didn’t let us know her decision yet. She will have done that already.",NOR,Control,original,Bad Filler,43,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I was late to work today. The traffic this morning was much worse than usual.",NAND,Control,created,Good Filler,76,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): It’s cold in this house. I bet you, John didn’t close the window or the back door.  Look, just as I said, both of them are wide open!",NOR,Experimental,original,Negation,2,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The smoke alarm went off. I bet John didn’t open the window or the door. I wonder which.",NAND,Experimental,created,Negation,57,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Some countries have very strict politics against immigration. This situation is not going to change anytime soon.",NOR,Control,original,Good Filler,23,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I bring my phone with me everywhere I go.",NAND,Control,created,Easy Good,99,7.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Few people are able to recite the national anthem or the pledge of allegiance. I don’t remember which.",NAND,Experimental,created,Other DE,67,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Trains travel very fast. Trains don't travel very fast.",NAND,Control,created,Easy Bad,119,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Few people took the appetizer or the dessert. The main dish was already expensive.",NOR,Experimental,original,Other DE,13,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The lunch break at school is very short. The kids rarely finish their lunch.",NOR,Control,original,Good Filler,26,3.0
