Iteration,Type,Sentence,Category,Correct Response,Model Response,Order,Correct,Matched Response
1,simple_pos,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter w?",experimental,"['sideshow', 'wornout', 'winnow']","[wornout, winnow, flashy]",1,0,-1
1,simple_neg,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letter u?",experimental,"['sideshow', 'flashy', 'winnow']","[joyous, flashy, winnow]",2,0,-1
1,simple_pos_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letters h or u?",experimental,"(['hump', 'sideshow', 'wornout', 'flashy', 'joyous'], ['sideshow', 'wornout', 'flashy', 'joyous'])","[hump, wornout, winnow, sideshow]",3,0,-1
1,comp_pos_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have either the letters u or w?",experimental,"(['hump', 'sideshow', 'joyous', 'winnow'], ['hump', 'sideshow', 'wornout', 'joyous', 'winnow'])","['hump', 'wornout', 'winnow']",4,0,-1
1,simple_neg_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letters u or h?",experimental,"(['winnow'], ['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'])","[sideshow, flashy, winnow]",5,0,-1
1,comp_neg_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have either the letters h or u?",experimental,"(['hump', 'winnow'], ['winnow'])","[sideshow, flashy, joyous, winnow]",6,0,-1
1,simple_neg_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letters h and u?",experimental,"(['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'], ['winnow'])","[sideshow, flashy, joyous, winnow]",7,0,-1
1,inc_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter w or h or both?",control,"['hump', 'sideshow', 'wornout', 'flashy', 'winnow']","[wornout, hump, flashy, winnow]",8,0,-1
1,ex_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter u or h, but not both?",control,"['sideshow', 'wornout', 'flashy', 'joyous']","[hump, shiny is not in the list so its removed, wornout, flashy]",9,0,-1
1,comp_neg,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have neither the letter u nor w?",control,['flashy'],"[sideshow, flashy, joyous]",10,0,-1
1,simple_pos_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letters w and h?",control,['sideshow'],"['wornout', 'hump', 'winnow']",11,0,-1
1,comp_neg_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have both the letters h and u?",control,"(['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'], ['winnow'])","[sideshow, flashy, joyous, winnow]",12,0,-1
2,simple_pos,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letter u?",experimental,"['duel', 'johannesburg', 'lustrous']","[lustrous, duel, homecomings]",13,0,-1
2,simple_neg,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have the letter d?",experimental,"['johannesburg', 'lustrous', 'homecomings']","[headline, lustrous, relayed, homecomings]",14,0,-1
2,simple_pos_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letters d or h?",experimental,"(['duel', 'johannesburg', 'headline', 'relayed', 'homecomings'], ['duel', 'johannesburg', 'relayed', 'homecomings'])","[duel, headline, homecomings, johannesburg]",15,0,-1
2,comp_pos_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have either the letters u or d?",experimental,"(['johannesburg', 'headline', 'lustrous', 'relayed'], ['duel', 'johannesburg', 'headline', 'lustrous', 'relayed'])","[duel, lustrous, headline, homecomings]",16,0,-1
2,simple_neg_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have the letters h or d?",experimental,"(['lustrous'], ['duel', 'johannesburg', 'lustrous', 'relayed', 'homecomings'])","[relay, lustrous]",17,0,-1
2,comp_neg_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have either the letters d or u?",experimental,"(['duel', 'homecomings'], ['homecomings'])","[johannesburg, relayed, homecomings]",18,0,-1
2,simple_neg_conj,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have the letters u and d?",experimental,"(['johannesburg', 'headline', 'lustrous', 'relayed', 'homecomings'], ['homecomings'])","[johannesburg, lustrous, relayed, homecomings]",19,0,-1
2,inc_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letter u or h or both?",control,"['duel', 'johannesburg', 'headline', 'lustrous', 'homecomings']","[duel, headline, homecomings, lustrous]",20,0,-1
2,ex_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letter d or h, but not both?",control,"['duel', 'johannesburg', 'relayed', 'homecomings']","[duel, headline]",21,0,-1
2,comp_neg,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have neither the letter h nor u?",control,['relayed'],"[relay, lustrous]",22,0,-1
2,simple_pos_conj,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letters h and d?",control,['headline'],"[headline, homecomings, johannesburg]",23,0,-1
2,comp_neg_conj,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have both the letters h and u?",control,"(['duel', 'headline', 'lustrous', 'relayed', 'homecomings'], ['relayed'])","[johannesburg, lustrous, relayed, homecomings]",24,0,-1
3,simple_pos,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letter m?",experimental,"['hermanovski', 'immortalized', 'admonished']","['hermanovski', 'immortalized']",25,0,-1
3,simple_neg,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have the letter v?",experimental,"['immortalized', 'admonished', 'crazed']","[admonished, shoved, crazed]",26,0,-1
3,simple_pos_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letters z or m?",experimental,"(['hermanovski', 'immortalized', 'civilizing', 'admonished', 'crazed'], ['hermanovski', 'civilizing', 'admonished', 'crazed'])","['immortalized', 'civilizing', 'admonished', 'crazed']",27,0,-1
3,comp_pos_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have either the letters v or m?",experimental,"(['immortalized', 'civilizing', 'admonished', 'shoved'], ['hermanovski', 'immortalized', 'civilizing', 'admonished', 'shoved'])","[hermanovski, civilizing, admonished]",28,0,-1
3,simple_neg_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have the letters z or v?",experimental,"(['admonished'], ['hermanovski', 'immortalized', 'admonished', 'shoved', 'crazed'])","[hermanovski, civilizing, admonished, shoved]",29,0,-1
3,comp_neg_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have either the letters z or v?",experimental,"(['civilizing', 'admonished'], ['admonished'])","[hermanovski, civilizing, admonished, shoved]",30,0,-1
3,simple_neg_conj,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have the letters m and v?",experimental,"(['immortalized', 'civilizing', 'admonished', 'shoved', 'crazed'], ['crazed'])","[admonished, shoved, crazed]",31,0,-1
3,inc_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letter v or z or both?",control,"['hermanovski', 'immortalized', 'civilizing', 'shoved', 'crazed']","['civilizing', 'admonished', 'crazed']",32,0,-1
3,ex_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letter z or v, but not both?",control,"['hermanovski', 'immortalized', 'shoved', 'crazed']","['civilizing', 'admonished']",33,0,-1
3,comp_neg,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have neither the letter z nor m?",control,['shoved'],"[admonished, shoved, crazed]",34,0,-1
3,simple_pos_conj,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letters m and v?",control,['hermanovski'],"['hermanovski', 'immortalized']",35,0,-1
3,comp_neg_conj,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have both the letters m and v?",control,"(['immortalized', 'civilizing', 'admonished', 'shoved', 'crazed'], ['crazed'])","[admonished, shoved, crazed]",36,0,-1
4,simple_pos,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words have the letter q?",experimental,"['squaw', 'qualitative', 'antiques']","['squaw', 'qualitative']",37,0,-1
