Iteration,Type,Sentence,Category,Correct Response,Model Response,Order,Correct,Matched Response
1,simple_pos,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 8?",experimental,"['06180888', '85011310', '09549875']","[06180888, 85011310, 09549875]",1,1,0
1,simple_neg,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digit 6?",experimental,"['85011310', '09549875', '23437552']","[85011310, 09549875, 79167597, 23437552]",2,0,-1
1,simple_pos_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digits 6 or 8?",experimental,"(['06180888', '85011310', '67175093', '09549875', '79167597'], ['85011310', '67175093', '09549875', '79167597'])","[06180888, 85011310, 67175093]",3,0,-1
1,comp_pos_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have either the digits 6 or 8?",experimental,"(['85011310', '67175093', '09549875', '79167597'], ['06180888', '85011310', '67175093', '09549875', '79167597'])","[06180888, 85011310, 67175093, 09549875]",4,0,-1
1,simple_neg_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digits 6 or 8?",experimental,"(['23437552'], ['85011310', '67175093', '09549875', '79167597', '23437552'])","[85011310, 09549875, 23437552]",5,0,-1
1,comp_neg_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have either the digits 8 or 3?",experimental,"(['85011310', '79167597'], ['79167597'])","[67175093, 09549875, 79167597]",6,0,-1
1,simple_neg_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digits 8 and 3?",experimental,"(['06180888', '67175093', '09549875', '79167597', '23437552'], ['79167597'])","[06180888, 67175093, 09549875, 79167597]",7,0,-1
1,inc_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 8 or 3 or both?",control,"['06180888', '85011310', '67175093', '09549875', '23437552']","[06180888, 85011310, 23437552]",8,0,-1
1,ex_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 3 or 6, but not both?",control,"['06180888', '85011310', '79167597', '23437552']","[06180888, 79167597, 23437552]",9,0,-1
1,comp_neg,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have neither the digit 8 nor 6?",control,['23437552'],"[9504975, 79175797, 23437552]",10,0,-1
1,simple_pos_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digits 6 and 8?",control,['06180888'],"[06180888, 67175093]",11,0,-1
1,comp_neg_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have both the digits 3 and 6?",control,"(['06180888', '85011310', '09549875', '79167597', '23437552'], ['09549875'])","[06180888, 85011310, 09549875, 79167597, 23437552]",12,1,0
2,simple_pos,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digit 1?",experimental,"['76513282', '41431201', '69777137']","[76513282, 41431201]",13,0,-1
2,simple_neg,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have the digit 1?",experimental,"['04930587', '50689723', '22034754']","[04930587, 50689723, 22034754, 69777137]",14,0,-1
2,simple_pos_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digits 4 or 1?",experimental,"(['04930587', '76513282', '41431201', '22034754', '69777137'], ['04930587', '76513282', '22034754', '69777137'])","[04930587, 41431201, 22034754]",15,0,-1
2,comp_pos_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have either the digits 8 or 4?",experimental,"(['76513282', '41431201', '50689723', '22034754'], ['04930587', '76513282', '41431201', '50689723', '22034754'])","[04930587, 41431201, 50689723, 22034754]",16,0,-1
2,simple_neg_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have the digits 1 or 8?",experimental,"(['22034754'], ['04930587', '41431201', '50689723', '22034754', '69777137'])","[04930587, 22034754]",17,0,-1
2,comp_neg_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have either the digits 1 or 4?",experimental,"(['41431201', '50689723'], ['50689723'])","[04930587, 50689723, 22034754]",18,0,-1
2,simple_neg_conj,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have the digits 4 and 8?",experimental,"(['76513282', '41431201', '50689723', '22034754', '69777137'], ['69777137'])","[76513282, 50689723, 22034754, 69777137]",19,0,-1
2,inc_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digit 8 or 4 or both?",control,"['04930587', '76513282', '41431201', '50689723', '22034754']","[04930587, 41431201, 50689723, 22034754]",20,0,-1
2,ex_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digit 1 or 4, but not both?",control,"['04930587', '76513282', '22034754', '69777137']","[04930587, 22034754, 50689723]",21,0,-1
2,comp_neg,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have neither the digit 1 nor 4?",control,['50689723'],"[04930587, 50689723]",22,0,-1
2,simple_pos_conj,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digits 1 and 4?",control,['41431201'],[41431201],23,1,0
2,comp_neg_conj,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have both the digits 4 and 8?",control,"(['76513282', '41431201', '50689723', '22034754', '69777137'], ['69777137'])","[04930587, 76513282, 50689723, 22034754, 69777137]",24,0,-1
3,simple_pos,"In the list of numbers: 96257425, 62391587, 11085848, 61315192, 22657342, 26081817, which numbers have the digit 8?",experimental,"['62391587', '11085848', '26081817']","[96257425, 11085848, 26081817]",25,0,-1
3,simple_neg,"In the list of numbers: 96257425, 62391587, 11085848, 61315192, 22657342, 26081817, which numbers do not have the digit 4?",experimental,"['62391587', '61315192', '26081817']","[96257425, 62391587, 11085848, 61315192, 26081817]",26,0,-1
3,simple_pos_dis,"In the list of numbers: 96257425, 62391587, 11085848, 61315192, 22657342, 26081817, which numbers have the digits 4 or 8?",experimental,"(['96257425', '62391587', '11085848', '22657342', '26081817'], ['96257425', '62391587', '22657342', '26081817'])","[11085848, 22657342, 26081817]",27,0,-1
3,comp_pos_dis,"In the list of numbers: 96257425, 62391587, 11085848, 61315192, 22657342, 26081817, which numbers have either the digits 4 or 8?",experimental,"(['96257425', '62391587', '22657342', '26081817'], ['96257425', '62391587', '11085848', '22657342', '26081817'])","[96257425, 11085848, 22657342, 26081817]",28,0,-1
3,simple_neg_dis,"In the list of numbers: 96257425, 62391587, 11085848, 61315192, 22657342, 26081817, which numbers do not have the digits 8 or 4?",experimental,"(['61315192'], ['96257425', '62391587', '61315192', '22657342', '26081817'])","[96257425, 62391587, 61315192]",29,0,-1
3,comp_neg_dis,"In the list of numbers: 96257425, 62391587, 11085848, 61315192, 22657342, 26081817, which numbers do not have either the digits 9 or 4?",experimental,"(['96257425', '26081817'], ['26081817'])","[62381587, 11085848, 61315192, 22657342, 26081817]",30,0,-1
3,simple_neg_conj,"In the list of numbers: 96257425, 62391587, 11085848, 61315192, 22657342, 26081817, which numbers do not have the digits 8 and 9?",experimental,"(['96257425', '11085848', '61315192', '22657342', '26081817'], ['22657342'])","[62391587, 22657342, 26081817]",31,0,-1
