Prompt,Condition,Study,Type,Contradictory_cont,Response
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  A: I wonder which it was. B: And it wouldn’t be the first time he failed those classes. C: So he got an A on both tests.",Experimental,original,Negation,C,C
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: It’s cold in this house. I bet you, John didn’t close the window or the back door.  A: So, look, both the window and back door are closed. B: I wonder which one of those two we’ll find open. C: Look, just as I said, both of them are wide open!",Experimental,original,Negation,A,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. A: So I saw cake, soda, and chocolate in the grocery bags he brought home. B: I forget which. C: He's sworn off both.",Experimental,created,Without,A,A
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: The man in the movie was very tall. A: The man in the movie was very short. B: His parents are both tall too. C: He is also very muscular.",Control,created,Conceptual,A,A
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: Mary is sad. She left the restaurant without a sandwich or a cake. A: They were out of both. B: I don’t know which. C: So she spent ten dollars on the sandwich and the cake.",Experimental,created,Without,C,C
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: My grandmother made these cookies without rum or cinnamon. A: So the cookies tasted like rum and cinnamon. B: Instead of those ingredients she added homemade brandy. C: I can’t remember which.",Experimental,original,Without,A,A
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: My friend came late to class today. A: She had band practice right before. B: My friend arrived early to class. C: The busses ran late.",Control,created,Conceptual,B,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. A: I don’t know which. B: So she did really well on the grammar questions and the vocabulary words. C: She didn’t study either.",Experimental,created,Negation,B,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: I really liked the piano performance. A: I really didn't like the piano performance. B: I played piano growing up. C: The notes sounded very soothing.",Control,created,Negation,A,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. A: So she received two tickets during the stop. B: She’s happy she doesn’t have any tickets to pay. C: I don’t know which.",Experimental,created,Without,A,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: My friend came late to class today. A: She had band practice right before. B: My friend did not come late to class. C: The busses ran late.",Control,created,Negation,B,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: John made it through all of college without buying coffee or bread. A: He said they were both a waste of money. B: I forget which. C: So John lived on toast and black coffee during college.",Experimental,created,Without,C,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: Jamie doesn’t like trees or flowers. A: I don’t remember which. B: So she's a huge nature buff. C: She doesn’t like nature in general.",Experimental,created,Negation,B,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: The smoke alarm went off. I bet John didn’t open the window or the door. A: Look, both the window and the door are still closed. B: I wonder which. C: So, look, he opened them both.",Experimental,created,Negation,C,C
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: I really liked the piano performance. A: I played piano growing up. B: The notes sounded very soothing. C: I really hated the piano performance.",Control,created,Conceptual,C,C
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: John doubts that Sue played football or tennis. A: He thinks she focused on one of the two. B: He thinks she never did any ball sports. C: So he thinks she did both.",Experimental,original,Other DE,C,C
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: John didn’t get the job. He didn’t bring his resume or a list of references. A: He didn’t bring either. B: So he brought his resume, a list of references, and a thoughful present. C: I don’t know which.",Experimental,created,Negation,B,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: The car radio has been broken for a few months. A: The car radio has been working well. B: It is really old. C: I don't have enough money to repair it.",Control,created,Conceptual,A,A
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: The car radio has been broken for a few months. A: It is really old. B: I don't have enough money to repair it. C: The car radio is not broken.",Control,created,Negation,C,C
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: Few people took the appetizer or the dessert. A: So both were gone by the end of the night. B: I don’t remember which. C: The main dish was already expensive.",Experimental,original,Other DE,A,A
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: It is really windy today. A: I heard there was a storm coming. B: The weather is very calm today. C: The ocean breeze feels nice.",Control,created,Conceptual,B,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. A: So most people are able to recite twelve numbers in a row. B: The limit is usually ten. C: I don’t remember which.",Experimental,original,Other DE,A,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: John is annoyed. Mary showed up to his birthday party without a present or a card. A: I don’t know which. B: She forgot them both at home. C: So Mary brought a thoughtful gift and a handwritten card to John's birthday party.",Experimental,created,Without,C,C
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: Amy came back from the mall without buying a sweater or perfume A: So just like she always does, Amy came back from the mall with a new sweater and some expensive perfume. B: She said she couldn't find anything she liked there. C: I'm not sure which.",Experimental,created,Without,A,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: The train didn’t get here on time. A: There was something on the tracks. B: The train got here on time. C: The delay was really long.",Control,created,Negation,B,B
"
From choices “A”, “B”, and “C”, which choice contradicts the sentence: Mary doubts that Paul read The Brothers Karamazov or Anna Karenina. A: She thinks he never reads Russian literature. B: So she knows he's read all the classics of Russian literature. C: She thinks he had time for only one of them.",Experimental,original,Other DE,B,B
