Iteration,Type,Sentence,Category,Correct Response,Model Response,Order
1,simple_pos,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 8?",experimental,"['06180888', '85011310', '09549875']","[80888, 11310, 75093, 49875, 67597]",1
1,simple_neg,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digit 6?",experimental,"['85011310', '09549875', '23437552']",67175093,2
1,simple_pos_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digits 6 or 8?",experimental,"(['06180888', '85011310', '67175093', '09549875', '79167597'], ['85011310', '67175093', '09549875', '79167597'])","[06180888, 85011310]",3
1,comp_pos_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have either the digits 6 or 8?",experimental,"(['85011310', '67175093', '09549875', '79167597'], ['06180888', '85011310', '67175093', '09549875', '79167597'])","[06180888, 85011310, 67175093, 09549875, 79167597]",4
1,simple_neg_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digits 6 or 8?",experimental,"(['23437552'], ['85011310', '67175093', '09549875', '79167597', '23437552'])",67175093,5
1,comp_neg_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have either the digits 8 or 3?",experimental,"(['85011310', '79167597'], ['79167597'])",67175093,6
1,simple_neg_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have the digits 8 and 3?",experimental,"(['06180888', '67175093', '09549875', '79167597', '23437552'], ['79167597'])",67175093,7
1,inc_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 8 or 3 or both?",control,"['06180888', '85011310', '67175093', '09549875', '23437552']","[85011310, 67175093, 79167597]",8
1,ex_dis,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digit 3 or 6, but not both?",control,"['06180888', '85011310', '79167597', '23437552']","[67175093, 23437552]",9
1,comp_neg,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have neither the digit 8 nor 6?",control,['23437552'],"[67175093, 23437552]",10
1,simple_pos_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers have the digits 6 and 8?",control,['06180888'],"[06180888, 85011310]",11
1,comp_neg_conj,"In the list of numbers: 06180888, 85011310, 67175093, 09549875, 79167597, 23437552, which numbers do not have both the digits 3 and 6?",control,"(['06180888', '85011310', '09549875', '79167597', '23437552'], ['09549875'])",67175093,12
2,simple_pos,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digit 1?",experimental,"['76513282', '41431201', '69777137']","04930587, 41431201",13
2,simple_neg,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have the digit 1?",experimental,"['04930587', '50689723', '22034754']","04930587 
76513282 
22034754",14
2,simple_pos_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digits 4 or 1?",experimental,"(['04930587', '76513282', '41431201', '22034754', '69777137'], ['04930587', '76513282', '22034754', '69777137'])","04930587
41431201",15
2,comp_pos_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have either the digits 8 or 4?",experimental,"(['76513282', '41431201', '50689723', '22034754'], ['04930587', '76513282', '41431201', '50689723', '22034754'])","04930587
76513282
41431201
22034754",16
2,simple_neg_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have the digits 1 or 8?",experimental,"(['22034754'], ['04930587', '41431201', '50689723', '22034754', '69777137'])","04930587
22034754",17
2,comp_neg_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have either the digits 1 or 4?",experimental,"(['41431201', '50689723'], ['50689723'])","04930587
22034754",18
2,simple_neg_conj,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers do not have the digits 4 and 8?",experimental,"(['76513282', '41431201', '50689723', '22034754', '69777137'], ['69777137'])","[13282, 31201]",19
2,inc_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digit 8 or 4 or both?",control,"['04930587', '76513282', '41431201', '50689723', '22034754']","04930587, 41431201",20
2,ex_dis,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digit 1 or 4, but not both?",control,"['04930587', '76513282', '22034754', '69777137']","04930587
22034754",21
2,comp_neg,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have neither the digit 1 nor 4?",control,['50689723'],"04930587
22034754",22
2,simple_pos_conj,"In the list of numbers: 04930587, 76513282, 41431201, 50689723, 22034754, 69777137, which numbers have the digits 1 and 4?",control,['41431201'],"04930587
41431201",23
