Sentence,Type,P,Not P,Contradiction,Connective
She likes apples and she does not like apples.,experimental,She likes apples.,She does not like apples.,1,and
She likes apples if she does not like apples.,experimental,She likes apples.,She does not like apples.,1,if
She likes apples so she does not like apples.,experimental,She likes apples.,She does not like apples.,1,so
She likes apples therefore she does not like apples.,experimental,She likes apples.,She does not like apples.,1,therefore
She likes apples but she does not like apples.,experimental,She likes apples.,She does not like apples.,1,but
She likes apples when she does not like apples.,experimental,She likes apples.,She does not like apples.,1,when
She likes apples although she does not like apples.,experimental,She likes apples.,She does not like apples.,1,although
She likes apples or she does not like apples.,experimental,She likes apples.,She does not like apples.,0,or
"Maybe she likes apples, maybe she does not like apples.",experimental,She likes apples.,She does not like apples.,0,maybe
"Perhaps she likes apples, perhaps she does not like apples.",experimental,She likes apples.,She does not like apples.,0,perhaps
She might like apples and she might not like apples.,experimental,She likes apples.,She does not like apples.,0,might
Jim was born in California and Jim was not born in California.,experimental,Jim was born in California.,Jim was not born in California.,1,and
Jim was born in California if Jim was not born in California.,experimental,Jim was born in California.,Jim was not born in California.,1,if
Jim was born in California so Jim was not born in California.,experimental,Jim was born in California.,Jim was not born in California.,1,so
Jim was born in California therefore Jim was not born in California.,experimental,Jim was born in California.,Jim was not born in California.,1,therefore
Jim was born in California but Jim was not born in California.,experimental,Jim was born in California.,Jim was not born in California.,1,but
Jim was born in California when Jim was not born in California.,experimental,Jim was born in California.,Jim was not born in California.,1,when
Jim was born in California although Jim was not born in California.,experimental,Jim was born in California.,Jim was not born in California.,1,although
Jim was born in California or Jim was not born in California.,experimental,Jim was born in California.,Jim was not born in California.,0,or
"Maybe Jim was born in California, maybe Jim was not born in California.",experimental,Jim was born in California.,Jim was not born in California.,0,maybe
"Perhaps Jim was born in California, perhaps Jim was not born in California.",experimental,Jim was born in California.,Jim was not born in California.,0,perhaps
Jim might be born in California and Jim might not be born in California.,experimental,Jim was born in California.,Jim was not born in California.,0,might
The dog is alive and the dog is not alive.,experimental,The dog is alive.,The dog is not alive.,1,and
The dog is alive if the dog is not alive.,experimental,The dog is alive.,The dog is not alive.,1,if
The dog is alive so the dog is not alive.,experimental,The dog is alive.,The dog is not alive.,1,so
The dog is alive therefore the dog is not alive.,experimental,The dog is alive.,The dog is not alive.,1,therefore
The dog is alive but the dog is not alive.,experimental,The dog is alive.,The dog is not alive.,1,but
The dog is alive when the dog is not alive.,experimental,The dog is alive.,The dog is not alive.,1,when
The dog is alive although the dog is not alive.,experimental,The dog is alive.,The dog is not alive.,1,although
The dog is alive or the dog is not alive.,experimental,The dog is alive.,The dog is not alive.,0,or
"Maybe the dog is alive, maybe the dog is not alive.",experimental,The dog is alive.,The dog is not alive.,0,maybe
"Perhaps the dog is alive, perhaps the dog is not alive.",experimental,The dog is alive.,The dog is not alive.,0,perhaps
The dog might be alive and the dog might not be alive.,experimental,The dog is alive.,The dog is not alive.,0,might
The cat chases the mouse and the cat does not chase the mouse.,experimental,The cat chases the mouse.,The cat does not chase the mouse.,1,and
The cat chases the mouse if the cat does not chase the mouse.,experimental,The cat chases the mouse.,The cat does not chase the mouse.,1,if
The cat chases the mouse so the cat does not chase the mouse.,experimental,The cat chases the mouse.,The cat does not chase the mouse.,1,so
The cat chases the mouse therefore the cat does not chase the mouse.,experimental,The cat chases the mouse.,The cat does not chase the mouse.,1,therefore
The cat chases the mouse but the cat does not chase the mouse.,experimental,The cat chases the mouse.,The cat does not chase the mouse.,1,but
The cat chases the mouse when the cat does not chase the mouse.,experimental,The cat chases the mouse.,The cat does not chase the mouse.,1,when
The cat chases the mouse although the cat does not chase the mouse.,experimental,The cat chases the mouse.,The cat does not chase the mouse.,1,although
