w1,w2,w3,s1,s2,s3,s4,s5,s6
dog,cat,plant,The dog knocked over the plant.,The plant was eaten by a cat.,The dog chased the cat around the neighborhood.,I took my dog to the park.,The black cat is bad luck.,I only have one plant in my living room.
computer,paint,green,The green juice spilled all over the computer.,The green paint was vibrant in color.,The computer had a really large paint stain on it.,There was green mold growing on the old cheese.,There is a computer on the table.,The wall had a fresh layer of paint.
class,water,stairs,The stairs to the room were flooded with water after the rain.,The stairs to the class were damaged.,I need to drink some water after class.,The leaning tower of Pisa has a lot of stairs.,My water bottle was empty.,This class is boring.
toothbrush,kitchen,morning,I left my jacket in the kitchen this morning.,I grabbed my toothbrush from the kitchen.,I clean my toothbrush every morning.,I use a toothbrush to brush my teeth.,The kitchen is a mess.,I do not like waking up in the morning.
mouse,red,wood,The red mouse is trapped in a cage.,My house is made of red wood.,The mouse toy was made of wood.,I have a pet mouse.,I put my gift in a red bag.,I prefer using wood cooking utensils.
well,car,outlet,I drove my car to the outlet mall.,My car works really well.,My phone is doing well now that it is plugged into an outlet.,I dropped my keys in a water well.,Some car is blocking my car.,My poetry is an outlet for my emotions.
orange,train,wind,The train conductor's orange vest had a stain.,I owned an orange wind up car.,The sky was orange and there was heavy wind.,I enjoyed eating my orange.,I had to train for the marathon.,The wind blew away the tent.
trash,boots,paper,I put my boots on to throw out all the trash.,I made origami boots out of paper.,I crumpled the paper and threw it in the trash.,The trash is overflowing.,My boots are old and I need new ones.,The torn up paper fell to the floor.
bell,screen,wet,Bell peppers grow well in wet environments.,I had to screen for people wearing wet shoes inside the building.,I rang the door bell quickly because I saw the TV screen on inside.,Some bell towers are old.,My screen doors keep the bugs out.,Wet socks are the worst feeling.
life,study,chair,I like to study on my chair.,My professor conducted a study on the life of rats.,I enjoy my life as the department chair.,There is no life without liberty.,I needed to study for this upcoming exam.,My dining table was missing a chair.
toy,sky,morning,My toy train is sky blue. ,I like to play with my toy in the morning.,The sky looks pretty in the morning.,I have a toy car.,The sky is very cloudy.,The morning dew made my lawn wet.
brown,wall,car,The wall of the building is brown.,The brown car turned suddenly.,The car flipped and hit a wall.,The brown sugar is very sweet.,There was traffic on wall street.,I do not own a car.
window,small,grown,The window had a small opening.,I had grown plants on the window sill.,The small dogs had grown significantly.,My window of opportunity was closing.,I was neither small nor large.,I have grown to like mushrooms.
feet,range,box,The archery range was fourty feet long.,The box was filled with mannequin feet.,A box of shoes comes in a range of sizes.,My feet hurt after walking all day.,My price range is very small.,I like to box after work. 
hand,towel,toast,The hand towel needs to be washed.,I raised my hand to make a toast to the groom.,I placed my toast on a paper towel.,I have a scar on my left hand.,Beaches require a towel.,I was toast after losing the game for my team.
plastic,bottle,straw,I had to drink my boba with a plastic straw.,I threw the plastic packaging and bottle away.,This straw is not going to fit in my bottle.,There is a lot of plastic waste in landfills.,I bought a new water bottle.,There was a straw littered on the beach.
shoe,chips,read,I like to eat chips while I read.,I pretend to tie my shoe so I can read the note dropped on the ground.,I crushed the chips on the ground with my shoe.,Someone stole my shoe.,These chips taste really stale.,I have read that book already.
television,math,pink,My math textbook is pink.,I would rather watch television than do math.,The girl on the television screen had pink hair.,Our television set is very old.,Math is my favorite subject in school.,I prefer pinks roses over red ones.
smoke,glass,bright,I could see the smoke outside through the glass windows.,It would have been bright outside if there was not so much smoke in the air.,There was bright red paint smeared all over the glass window.,I started coughing from all the smoke.,I would like a glass vase for my birthday.,That boy is really bright.
water,coffee,dark,Going deep in the water looks very dark.,The coffee had too much water.,I prefer my coffee to be dark roast.,I forgot to water the plants.,The coffee shop had a long line.,The sky was dark after the sun set.
