Prompt,Condition,Study,Contradictory_cont,Response
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. If I remember correctly, John doesn’t drink wine or beer.  A: I don’t know which.  B: So he drinks both. C: The doctor has forbidden him alcohol.",Experimental_N,original,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. It’s cold in this house. I bet you, John didn’t close the window or the back door.  A: I wonder which one of those two we’ll find open.  B: Look, just as I said, both of them are wide open! C: So, look, both the window and back door are closed.",Experimental_N,original,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. A: So she invited them both.  B: I don’t know which of them.  C: She’s upset with both of them and doesn’t want to see them.",Experimental_N,original,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  A: And it wouldn’t be the first time he failed those classes. B: I wonder which it was.  C: So he got an A on both tests.",Experimental_N,original,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. I remember there was a family conflict. Mary didn’t speak with her mother or her sister.  A: So she talked to them both yesterday.  B: I don’t know which.  C: She was only talking with her father after that.",Experimental_N,original,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Mary doesn’t like cats or dogs. A: She had traumatizing experiences with both. B: I don’t remember which.  C: So she likes all animals.",Experimental_N,original,C,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Jane is worried. She got to the airport without her passport or her credit card.  A: She forgot all her personal stuff in the cab to the airport! B: So she had her passport and her credit card in her bag. C: I don't remember which. ",Experimental_W,original,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. It seems John has lived here for years without medical or house insurance. A: So John spends a lot on medical and house insurance. B: I don’t remember which one.  C: Only now has it occurred to him that he needs both of them.",Experimental_W,original,A,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. My grandmother made these cookies without rum or cinnamon.  A: Instead of those ingredients she added homemade brandy. B: I can’t remember which.  C: So the cookies tasted like rum and cinnamon.",Experimental_W,original,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John went on holiday without his mother or his father.  A: So he took them both on vacation because it's their anniversary. B: I don’t remember which.  C: It's the first time he travels by himself.",Experimental_W,original,A,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  A: So his bag had both his computer and movie camera in it when I looked. B: I wonder which of the two he decided to give up.  C: I am sure he was a lot happier without electronic devices.",Experimental_W,original,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Kate used to live without coffee or chocolate. A: Now she cannot imagine her life without them. B: So she used to buy a lot of lattes and chocolate chip cookies. C: I don't remember which. ",Experimental_W,original,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Few people took the appetizer or the dessert. A: I don’t remember which.  B: So both were gone by the end of the night. C: The main dish was already expensive.",Experimental_O,original,B,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. A: I don’t remember which.  B: So most people are able to recite twelve numbers in a row. C: The limit is usually ten.",Experimental_O,original,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John doubts that Sue played football or tennis.  A: He thinks she focused on one of the two.  B: He thinks she never did any ball sports. C: So he thinks she did both.",Experimental_O,original,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Mary doubts that Paul read The Brothers Karamazov or Anna Karenina.  A: She thinks he never reads Russian literature. B: She thinks he had time for only one of them.  C: So she knows he's read all the classics of Russian literature.",Experimental_O,original,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. When he was little, John would rarely sleep with his mother or his father. A: I don’t remember which.  B: So he liked to sleep with one parent on each side of him. C: He always preferred to sleep alone.",Experimental_O,original,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John rarely visits his sister or his mother. A: I don’t remember which.  B: He says that they make him uncomfortable. C: So he spends as much time as possible with both.",Experimental_O,original,C,B
