Sentence,Connective,Contradiction,Instructions,Type,Prompt_ID,Total order,Response,proposition,Trial,Correct,Model
She likes apples and she does not like apples.,and,1,1,experimental,1,1,No,1,1,0,Llama 3.2 1B
She likes apples if she does not like apples.,if,1,1,experimental,2,2,No,1,1,0,Llama 3.2 1B
She likes apples so she does not like apples.,so,1,1,experimental,3,3,No,1,1,0,Llama 3.2 1B
She likes apples therefore she does not like apples.,therefore,1,1,experimental,4,4,No,1,1,0,Llama 3.2 1B
She likes apples but she does not like apples.,but,1,1,experimental,5,5,No,1,1,0,Llama 3.2 1B
She likes apples when she does not like apples.,when,1,1,experimental,6,6,No,1,1,0,Llama 3.2 1B
She likes apples although she does not like apples.,although,1,1,experimental,7,7,No,1,1,0,Llama 3.2 1B
She likes apples or she does not like apples.,or,0,1,experimental,8,8,Yes,1,1,0,Llama 3.2 1B
Maybe she likes apples, maybe she does not like apples.,maybe,0,1,experimental,9,9,No,1,1,1,Llama 3.2 1B
Perhaps she likes apples, perhaps she does not like apples.,perhaps,0,1,experimental,10,10,No,1,1,1,Llama 3.2 1B
She might like apples and she might not like apples.,might,0,1,experimental,11,11,Yes,1,1,0,Llama 3.2 1B
Jim was born in California and Jim was not born in California.,and,1,1,experimental,12,12,No,2,1,0,Llama 3.2 1B
Jim was born in California if Jim was not born in California.,if,1,1,experimental,13,13,Yes,2,1,1,Llama 3.2 1B
Jim was born in California so Jim was not born in California.,so,1,1,experimental,14,14,No,2,1,0,Llama 3.2 1B
Jim was born in California therefore Jim was not born in California.,therefore,1,1,experimental,15,15,No,2,1,0,Llama 3.2 1B
Jim was born in California but Jim was not born in California.,but,1,1,experimental,16,16,No,2,1,0,Llama 3.2 1B
Jim was born in California when Jim was not born in California.,when,1,1,experimental,17,17,No,2,1,0,Llama 3.2 1B
Jim was born in California although Jim was not born in California.,although,1,1,experimental,18,18,Yes,2,1,1,Llama 3.2 1B
Jim was born in California or Jim was not born in California.,or,0,1,experimental,19,19,Yes,2,1,0,Llama 3.2 1B
Maybe Jim was born in California, maybe Jim was not born in California.,maybe,0,1,experimental,20,20,No,2,1,1,Llama 3.2 1B
Perhaps Jim was born in California, perhaps Jim was not born in California.,perhaps,0,1,experimental,21,21,Yes,2,1,0,Llama 3.2 1B
Jim might be born in California and Jim might not be born in California.,might,0,1,experimental,22,22,Yes,2,1,0,Llama 3.2 1B
The dog is alive and the dog is not alive.,and,1,1,experimental,23,23,No,3,1,0,Llama 3.2 1B
The dog is alive if the dog is not alive.,if,1,1,experimental,24,24,No,3,1,0,Llama 3.2 1B
The dog is alive so the dog is not alive.,so,1,1,experimental,25,25,No,3,1,0,Llama 3.2 1B
The dog is alive therefore the dog is not alive.,therefore,1,1,experimental,26,26,No,3,1,0,Llama 3.2 1B
The dog is alive but the dog is not alive.,but,1,1,experimental,27,27,Yes,3,1,1,Llama 3.2 1B
The dog is alive when the dog is not alive.,when,1,1,experimental,28,28,No,3,1,0,Llama 3.2 1B
The dog is alive although the dog is not alive.,although,1,1,experimental,29,29,Yes,3,1,1,Llama 3.2 1B
The dog is alive or the dog is not alive.,or,0,1,experimental,30,30,Yes,3,1,0,Llama 3.2 1B
Maybe the dog is alive, maybe the dog is not alive.,maybe,0,1,experimental,31,31,Yes,3,1,0,Llama 3.2 1B
Perhaps the dog is alive, perhaps the dog is not alive.,perhaps,0,1,experimental,32,32,No,3,1,1,Llama 3.2 1B
The dog might be alive and the dog might not be alive.,might,0,1,experimental,33,33,No,3,1,1,Llama 3.2 1B
The cat chases the mouse and the cat does not chase the mouse.,and,1,1,experimental,34,34,No,4,1,0,Llama 3.2 1B
The cat chases the mouse if the cat does not chase the mouse.,if,1,1,experimental,35,35,No,4,1,0,Llama 3.2 1B
The cat chases the mouse so the cat does not chase the mouse.,so,1,1,experimental,36,36,No,4,1,0,Llama 3.2 1B
The cat chases the mouse therefore the cat does not chase the mouse.,therefore,1,1,experimental,37,37,Yes,4,1,1,Llama 3.2 1B
The cat chases the mouse but the cat does not chase the mouse.,but,1,1,experimental,38,38,No,4,1,0,Llama 3.2 1B
The cat chases the mouse when the cat does not chase the mouse.,when,1,1,experimental,39,39,Yes,4,1,1,Llama 3.2 1B
The cat chases the mouse although the cat does not chase the mouse.,although,1,1,experimental,40,40,No,4,1,0,Llama 3.2 1B
The cat chases the mouse or the cat does not chase the mouse.,or,0,1,experimental,41,41,Yes,4,1,0,Llama 3.2 1B
Maybe the cat chases the mouse, maybe the cat does not chase the mouse.,maybe,0,1,experimental,42,42,No,4,1,1,Llama 3.2 1B
Perhaps the cat chases the mouse, perhaps the cat does not chase the mouse.,perhaps,0,1,experimental,43,43,Yes,4,1,0,Llama 3.2 1B
The cat might chase the mouse and the cat might not chase the mouse.,might,0,1,experimental,44,44,No,4,1,1,Llama 3.2 1B
I have a car and I do not have a car.,and,1,1,experimental,45,45,No,5,1,0,Llama 3.2 1B
I have a car if I do not have a car.,if,1,1,experimental,46,46,No,5,1,0,Llama 3.2 1B
I have a car so I do not have a car.,so,1,1,experimental,47,47,Yes,5,1,1,Llama 3.2 1B
I have a car therefore I do not have a car.,therefore,1,1,experimental,48,48,Yes,5,1,1,Llama 3.2 1B
I have a car but I do not have a car.,but,1,1,experimental,49,49,No,5,1,0,Llama 3.2 1B
I have a car when I do not have a car.,when,1,1,experimental,50,50,No,5,1,0,Llama 3.2 1B
I have a car although I do not have a car.,although,1,1,experimental,51,51,No,5,1,0,Llama 3.2 1B
I have a car or I do not have a car.,or,0,1,experimental,52,52,Yes,5,1,0,Llama 3.2 1B
Maybe I have a car, maybe I do not have a car.,maybe,0,1,experimental,53,53,Yes,5,1,0,Llama 3.2 1B
Perhaps I have a car, perhaps I do not have a car.,perhaps,0,1,experimental,54,54,Yes,5,1,0,Llama 3.2 1B
I might have a car and I might not have a car.,might,0,1,experimental,55,55,Yes,5,1,0,Llama 3.2 1B
The boy is playing soccer and the boy is not playing soccer.,and,1,1,experimental,56,56,No,6,1,0,Llama 3.2 1B
The boy is playing soccer if the boy is not playing soccer.,if,1,1,experimental,57,57,No,6,1,0,Llama 3.2 1B
The boy is playing soccer so the boy is not playing soccer.,so,1,1,experimental,58,58,Yes,6,1,1,Llama 3.2 1B
The boy is playing soccer therefore the boy is not playing soccer.,therefore,1,1,experimental,59,59,No,6,1,0,Llama 3.2 1B
The boy is playing soccer but the boy is not playing soccer.,but,1,1,experimental,60,60,No,6,1,0,Llama 3.2 1B
The boy is playing soccer when the boy is not playing soccer.,when,1,1,experimental,61,61,No,6,1,0,Llama 3.2 1B
The boy is playing soccer although the boy is not playing soccer.,although,1,1,experimental,62,62,No,6,1,0,Llama 3.2 1B
The boy is playing soccer or the boy is not playing soccer.,or,0,1,experimental,63,63,Yes,6,1,0,Llama 3.2 1B
Maybe the boy is playing soccer, maybe the boy is not playing soccer.,maybe,0,1,experimental,64,64,No,6,1,1,Llama 3.2 1B
Perhaps the boy is playing soccer, perhaps the boy is not playing soccer.,perhaps,0,1,experimental,65,65,No,6,1,1,Llama 3.2 1B
The boy might be playing soccer and the boy might not be playing soccer.,might,0,1,experimental,66,66,Yes,6,1,0,Llama 3.2 1B
Jim showed the man his tickets and Jim did not show the man his tickets.,and,1,1,experimental,67,67,No,7,1,0,Llama 3.2 1B
Jim showed the man his tickets if Jim did not show the man his tickets.,if,1,1,experimental,68,68,No,7,1,0,Llama 3.2 1B
Jim showed the man his tickets so Jim did not show the man his tickets.,so,1,1,experimental,69,69,No,7,1,0,Llama 3.2 1B
Jim showed the man his tickets therefore Jim did not show the man his tickets.,therefore,1,1,experimental,70,70,No,7,1,0,Llama 3.2 1B
Jim showed the man his tickets but Jim did not show the man his tickets.,but,1,1,experimental,71,71,No,7,1,0,Llama 3.2 1B
Jim showed the man his tickets when Jim did not show the man his tickets.,when,1,1,experimental,72,72,No,7,1,0,Llama 3.2 1B
Jim showed the man his tickets although Jim did not show the man his tickets.,although,1,1,experimental,73,73,No,7,1,0,Llama 3.2 1B
Jim showed the man his tickets or Jim did not show the man his tickets.,or,0,1,experimental,74,74,No,7,1,1,Llama 3.2 1B
Maybe Jim showed the man his tickets, maybe Jim did not show the man his tickets.,maybe,0,1,experimental,75,75,Yes,7,1,0,Llama 3.2 1B
Perhaps Jim showed the man his tickets, perhaps Jim did not show the man his tickets.,perhaps,0,1,experimental,76,76,No,7,1,1,Llama 3.2 1B
