Iteration,Type,Sentence,Category,Correct Response,Model Response,Order
1,simple_pos,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the word cat?",experimental,"['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'The black cat is bad luck.']","[""The plant was eaten by a cat."", ""The dog chased the cat around the neighborhood."", ""The black cat is bad luck.""]",1
1,simple_neg,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have the word plant?",experimental,"['The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.']","['The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.']",2
1,simple_pos_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the words plant or dog?",experimental,"(['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.'], ['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.'])","[""The dog knocked over the plant."", ""The plant was eaten by a cat."", ""I took my dog to the park."", ""I only have one plant in my living room.""]",3
1,comp_pos_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have either the words dog or cat?",experimental,"(['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'I took my dog to the park.', 'The black cat is bad luck.'], ['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.'])","[""The dog knocked over the plant."", ""The plant was eaten by a cat."", ""The dog chased the cat around the neighborhood."", ""I took my dog to the park."", ""The black cat is bad luck.""]",4
1,simple_neg_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have the words plant or dog?",experimental,"(['The black cat is bad luck.'], ['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.', 'I only have one plant in my living room.'])","[""The black cat is bad luck."", ""I only have one plant in my living room.""]",5
1,comp_neg_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have either the words dog or cat?",experimental,"(['The dog chased the cat around the neighborhood.', 'I only have one plant in my living room.'], ['I only have one plant in my living room.'])","['The black cat is bad luck.', 'I only have one plant in my living room.']",6
1,simple_neg_conj,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences do not have the words cat and plant?",experimental,"(['The dog knocked over the plant.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.', 'I only have one plant in my living room.'], ['I took my dog to the park.'])","['The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'The black cat is bad luck.']",7
1,inc_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the word dog or plant or both?",control,"['The dog knocked over the plant.', 'The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.']","['The dog knocked over the plant.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.']",8
1,ex_dis,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have the word dog or plant, but not both?",control,"['The plant was eaten by a cat.', 'The dog chased the cat around the neighborhood.', 'I took my dog to the park.', 'I only have one plant in my living room.']","['The dog chased the cat around the neighborhood.', 'The black cat is bad luck.', 'I only have one plant in my living room.']",9
1,comp_neg,"In the list of sentences: The dog knocked over the plant., The plant was eaten by a cat., The dog chased the cat around the neighborhood., I took my dog to the park., The black cat is bad luck., I only have one plant in my living room., which sentences have neither the word plant nor cat?",control,['I took my dog to the park.'],"[""The dog chased the cat around the neighborhood."", ""I took my dog to the park."", ""I only have one plant in my living room.""]",10
