Iteration,Type,Sentence,Category,Correct Response,Model Response,Order,Correct,Matched Response
1,simple_pos,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter w?",experimental,"['sideshow', 'wornout', 'winnow']","[wornout, winnow]",1,0,-1
1,simple_neg,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letter u?",experimental,"['sideshow', 'flashy', 'winnow']","[sideshow, wornout, flashy, joyous, winnow]",2,0,-1
1,simple_pos_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letters h or u?",experimental,"(['hump', 'sideshow', 'wornout', 'flashy', 'joyous'], ['sideshow', 'wornout', 'flashy', 'joyous'])","[hump, sideshow, wornout, flashy]",3,0,-1
1,comp_pos_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have either the letters u or w?",experimental,"(['hump', 'sideshow', 'joyous', 'winnow'], ['hump', 'sideshow', 'wornout', 'joyous', 'winnow'])","[hump, wornout, winnow]",4,0,-1
1,simple_neg_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letters u or h?",experimental,"(['winnow'], ['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'])","[wornout, joyous]",5,0,-1
1,comp_neg_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have either the letters h or u?",experimental,"(['hump', 'winnow'], ['winnow'])","[wornout, joyous, winnow]",6,0,-1
1,simple_neg_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letters h and u?",experimental,"(['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'], ['winnow'])","[wornout, winnow]",7,0,-1
1,inc_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter w or h or both?",control,"['hump', 'sideshow', 'wornout', 'flashy', 'winnow']","[hump, sideshow, wornout, flashy, winnow]",8,1,0
1,ex_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter u or h, but not both?",control,"['sideshow', 'wornout', 'flashy', 'joyous']","['sideshow', 'wornout', 'flashy', 'joyous']",9,1,0
1,comp_neg,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have neither the letter u nor w?",control,['flashy'],"[flashy, joyous]",10,0,-1
1,simple_pos_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letters w and h?",control,['sideshow'],"['sideshow', 'flashy']",11,0,-1
1,comp_neg_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have both the letters h and u?",control,"(['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'], ['winnow'])","['sideshow', 'wornout', 'flashy', 'joyous', 'winnow']",12,1,0
2,simple_pos,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letter u?",experimental,"['duel', 'johannesburg', 'lustrous']","[duel, lustrous]",13,0,-1
2,simple_neg,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have the letter d?",experimental,"['johannesburg', 'lustrous', 'homecomings']","['johannesburg', 'lustrous', 'homecomings']",14,1,0
2,simple_pos_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letters d or h?",experimental,"(['duel', 'johannesburg', 'headline', 'relayed', 'homecomings'], ['duel', 'johannesburg', 'relayed', 'homecomings'])","[duel, johannesburg, headline, relayed]",15,0,-1
