Iteration,Type,Sentence,Category,Correct Response,Model Response,Order,Correct,Matched Response
1,simple_pos,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter w?",experimental,"['sideshow', 'wornout', 'winnow']","['wornout', 'winnow']",1,0,-1
1,simple_neg,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letter u?",experimental,"['sideshow', 'flashy', 'winnow']","['sideshow', 'joyous']",2,0,-1
1,simple_pos_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letters h or u?",experimental,"(['hump', 'sideshow', 'wornout', 'flashy', 'joyous'], ['sideshow', 'wornout', 'flashy', 'joyous'])","['hump', 'sideshow', 'wornout']",3,0,-1
1,comp_pos_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have either the letters u or w?",experimental,"(['hump', 'sideshow', 'joyous', 'winnow'], ['hump', 'sideshow', 'wornout', 'joyous', 'winnow'])","['hump', 'sideshow', 'wornout', 'winnow']",4,0,-1
1,simple_neg_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letters u or h?",experimental,"(['winnow'], ['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'])","['sideshow', 'flashy', 'joyous', 'winnow']",5,0,-1
1,comp_neg_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have either the letters h or u?",experimental,"(['hump', 'winnow'], ['winnow'])","['flashy', 'joyous', 'winnow']",6,0,-1
1,simple_neg_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have the letters h and u?",experimental,"(['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'], ['winnow'])","[wornout, flashy, joyous]",7,0,-1
1,inc_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter w or h or both?",control,"['hump', 'sideshow', 'wornout', 'flashy', 'winnow']","[wornout, flashy, winnow]",8,0,-1
1,ex_dis,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letter u or h, but not both?",control,"['sideshow', 'wornout', 'flashy', 'joyous']","['sideshow', 'wornout', 'flashy', 'joyous', 'winnow']",9,0,-1
1,comp_neg,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have neither the letter u nor w?",control,['flashy'],"['flashy', 'joyous']",10,0,-1
1,simple_pos_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words have the letters w and h?",control,['sideshow'],"['whale', 'whiskey']",11,0,-1
1,comp_neg_conj,"In the list of words: hump, sideshow, wornout, flashy, joyous, winnow, which words do not have both the letters h and u?",control,"(['sideshow', 'wornout', 'flashy', 'joyous', 'winnow'], ['winnow'])","['sideshow', 'flashy', 'joyous']",12,0,-1
2,simple_pos,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letter u?",experimental,"['duel', 'johannesburg', 'lustrous']","['duel', 'johannesburg', 'lustrous', 'homecomings']",13,0,-1
2,simple_neg,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have the letter d?",experimental,"['johannesburg', 'lustrous', 'homecomings']","['johannesburg', 'headline', 'lustrous', 'relayed', 'homecomings']",14,0,-1
2,simple_pos_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letters d or h?",experimental,"(['duel', 'johannesburg', 'headline', 'relayed', 'homecomings'], ['duel', 'johannesburg', 'relayed', 'homecomings'])","['duel', 'johannesburg', 'headline', 'lustrous', 'relayed', 'homecomings']",15,0,-1
